raw,dep,anx,oc,pan,sep,soc
0,32,26,34,38,40,25
1,34,29,37,41,44,27
2,37,33,41,45,48,30
3,39,36,44,48,52,32
4,42,40,48,51,56,34
5,44,43,51,54,60,36
6,46,46,55,57,64,38
7,49,50,58,60,68,40
8,51,53,62,63,72,42
9,54,57,65,66,76,44
10,56,60,69,69,80,46
11,59,63,72,73,85,49
12,61,67,75,76,89,51
13,64,70,79,79,93,53
14,66,74,82,82,97,55
15,68,77,86,85,101,57
16,71,80,89,88,105,59
17,73,84,93,91,109,61
18,76,87,96,94,113,63
19,78,,,97,117,65
20,81,,,101,121,68
21,83,,,104,125,70
22,86,,,107,,72
23,88,,,110,,74
24,90,,,113,,76
25,93,,,116,,78
26,95,,,119,,80
27,98,,,122,,82
28,100,,,,,
29,103,,,,,
30,105,,,,,
