raw,ta,tad
0,<38,<35
1,<38,<35
2,<38,<35
3,<38,<35
4,<38,<35
5,<38,<35
6,<38,<35
7,<38,<35
8,<38,<35
9,<38,<35
10,<38,<35
11,<38,<35
12,<38,<35
13,38,35
14,39,36
15,40,37
16,40,37
17,41,38
18,42,39
19,43,39
20,43,40
21,44,41
22,45,41
23,46,42
24,46,43
25,47,43
26,48,44
27,49,45
28,50,45
29,50,46
30,51,47
31,52,47
32,53,48
33,53,48
34,54,49
35,55,50
36,56,50
37,56,51
38,57,52
39,58,52
40,59,53
41,59,54
42,60,54
43,61,55
44,62,56
45,63,56
46,63,57
47,64,58
48,65,58
49,66,59
50,66,60
51,67,60
52,68,61
53,69,62
54,69,62
55,70,63
56,71,63
57,72,64
58,72,65
59,73,65
60,74,66
61,75,67
62,75,67
63,76,68
64,77,69
65,78,69
66,79,70
67,79,71
68,80,71
69,81,72
70,82,73
71,82,73
72,83,74
73,84,75
74,85,75
75,85,76
76,86,77
77,87,77
78,88,78
79,88,79
80,89,79
81,90,80
82,91,80
83,92,81
84,92,82
85,93,82
86,94,83
87,95,84
88,95,84
89,96,85
90,97,86
91,98,86
92,98,87
93,99,88
94,100,88
95,101,89
96,101,90
97,102,90
98,103,91
99,104,92
100,105,92
101,105,93
102,106,94
103,107,94
104,108,95
105,108,95
106,109,96
107,110,97
108,111,97
109,111,98
110,112,99
111,113,99
112,,100
113,,>100
114,,>100
115,,>100
116,,>100
117,,>100
118,,>100
119,,>100
120,,>100
121,,>100
122,,>100
123,,>100
124,,>100
125,,>100
126,,>100
127,,>100
128,,>100
129,,>100
130,,>100
131,,>100
132,,>100
133,,>100
134,,>100
135,,>100
136,,>100
137,,>100
138,,>100
139,,>100
140,,>100
141,,>100
142,,>100
143,,>100
144,,>100
145,,>100
146,,>100
147,,>100
148,,>100
149,,>100
150,,>100
151,,>100
152,,>100
153,,>100
154,,>100
155,,>100
156,,>100
157,,>100
158,,>100
159,,>100
160,,>100
161,,>100
162,,>100
163,,>100
164,,>100
165,,>100
166,,>100
167,,>100
168,,>100
169,,>100
170,,>100
171,,>100
172,,>100
173,,>100
174,,>100
175,,>100
176,,>100
177,,>100
178,,>100
179,,>100
180,,>100
