raw,dep,anx,oc,pan,sep,soc
0,29,29,35,36,40,25
1,32,32,39,40,44,27
2,35,35,42,43,48,29
3,37,38,46,46,53,31
4,40,40,50,49,57,33
5,43,43,53,53,62,35
6,46,46,57,56,66,37
7,48,49,60,59,71,39
8,51,52,64,62,75,41
9,54,55,67,66,80,43
10,56,58,71,69,84,45
11,59,61,75,72,89,47
12,62,64,78,75,93,49
13,65,67,82,79,98,51
14,67,70,85,82,102,53
15,70,72,89,85,107,55
16,73,75,93,89,111,57
17,75,78,96,92,116,59
18,78,81,100,95,120,61
19,81,,,98,125,63
20,84,,,102,129,65
21,86,,,105,134,67
22,89,,,108,,69
23,92,,,111,,71
24,94,,,115,,73
25,97,,,118,,75
26,100,,,121,,77
27,103,,,124,,79
28,105,,,,,
29,108,,,,,
30,111,,,,,
