raw,dep,anx,oc,pan,sep,soc
0,40,37,42,42,38,33
1,42,40,46,47,42,35
2,45,43,50,51,45,37
3,48,46,54,55,48,38
4,51,49,57,60,52,40
5,53,53,61,64,55,42
6,56,56,65,68,59,44
7,59,59,69,73,62,46
8,62,62,73,77,65,48
9,64,65,76,81,69,50
10,67,68,80,86,72,52
11,70,71,84,90,76,54
12,73,75,88,94,79,56
13,75,78,91,99,82,58
14,78,81,95,103,86,60
15,81,84,99,107,89,62
16,84,87,103,112,93,64
17,87,90,106,116,96,66
18,89,93,110,120,99,68
19,92,,,125,103,69
20,95,,,129,106,71
21,98,,,134,109,73
22,100,,,138,,75
23,103,,,142,,77
24,106,,,147,,79
25,109,,,151,,81
26,111,,,155,,83
27,114,,,160,,85
28,117,,,,,
29,120,,,,,
30,122,,,,,
