raw,dep,anx,oc,pan,sep,soc
0,37,35,41,41,40,30
1,41,39,46,47,43,33
2,44,43,50,52,47,36
3,48,47,54,57,51,38
4,51,51,59,63,54,41
5,55,55,63,68,58,43
6,58,59,67,74,61,46
7,62,63,72,79,65,48
8,65,67,76,85,68,51
9,69,71,80,90,72,53
10,72,75,85,95,76,56
11,76,79,89,101,79,58
12,79,83,93,106,83,61
13,83,87,98,112,86,63
14,86,91,102,117,90,66
15,90,95,106,123,94,69
16,93,99,111,128,97,71
17,97,103,115,133,101,74
18,100,107,119,139,104,76
19,104,,,144,108,79
20,107,,,150,111,81
21,111,,,155,115,84
22,114,,,161,,86
23,118,,,166,,89
24,121,,,172,,91
25,124,,,177,,94
26,128,,,182,,96
27,131,,,188,,99
28,135,,,,,
29,138,,,,,
30,142,,,,,
