raw,ta,tad
0,<36,<34
1,<36,<34
2,<36,<34
3,<36,<34
4,<36,<34
5,<36,<34
6,<36,<34
7,<36,<34
8,<36,<34
9,<36,<34
10,<36,<34
11,<36,<34
12,<36,<34
13,36,34
14,37,34
15,38,35
16,38,35
17,39,36
18,40,37
19,40,37
20,41,38
21,42,38
22,42,39
23,43,39
24,44,40
25,45,41
26,45,41
27,46,42
28,47,42
29,47,43
30,48,44
31,49,44
32,49,45
33,50,45
34,51,46
35,51,46
36,52,47
37,53,48
38,54,48
39,54,49
40,55,49
41,56,50
42,56,51
43,57,51
44,58,52
45,58,52
46,59,53
47,60,53
48,60,54
49,61,55
50,62,55
51,63,56
52,63,56
53,64,57
54,65,58
55,65,58
56,66,59
57,67,59
58,67,60
59,68,60
60,69,61
61,69,62
62,70,62
63,71,63
64,72,63
65,72,64
66,73,65
67,74,65
68,74,66
69,75,66
70,76,67
71,76,67
72,77,68
73,78,69
74,78,69
75,79,70
76,80,70
77,80,71
78,81,72
79,82,72
80,83,73
81,83,73
82,84,74
83,85,74
84,85,75
85,86,76
86,87,76
87,87,77
90,89,79
91,90,79
92,91,80
93,92,80
94,92,81
95,93,81
96,94,82
97,94,83
98,95,83
99,96,84
100,96,84
101,97,85
102,98,86
103,98,86
104,99,87
105,100,87
106,101,88
107,101,88
108,102,89
109,103,90
110,103,90
111,104,91
112,,91
113,,>91
114,,>91
115,,>91
116,,>91
117,,>91
118,,>91
119,,>91
120,,>91
121,,>91
122,,>91
123,,>91
124,,>91
125,,>91
126,,>91
127,,>91
128,,>91
129,,>91
130,,>91
131,,>91
132,,>91
133,,>91
134,,>91
135,,>91
136,,>91
137,,>91
138,,>91
139,,>91
140,,>91
141,,>91
142,,>91
143,,>91
144,,>91
145,,>91
146,,>91
147,,>91
148,,>91
149,,>91
150,,>91
151,,>91
152,,>91
153,,>91
154,,>91
155,,>91
156,,>91
157,,>91
158,,>91
159,,>91
160,,>91
161,,>91
162,,>91
163,,>91
164,,>91
165,,>91
166,,>91
167,,>91
168,,>91
169,,>91
170,,>91
171,,>91
172,,>91
173,,>91
174,,>91
175,,>91
176,,>91
177,,>91
178,,>91
179,,>91
180,,>91
