raw,dep,anx,oc,pan,sep,soc
0,30,27,35,37,39,24
1,32,30,38,40,43,26
2,35,33,41,42,46,28
3,37,36,44,45,50,30
4,40,39,47,47,54,32
5,43,42,50,50,57,34
6,45,46,53,52,61,36
7,48,49,56,55,65,38
8,50,52,59,58,68,40
9,53,55,62,60,72,42
10,55,58,65,63,76,44
11,58,61,68,65,79,46
12,61,64,71,68,83,48
13,63,68,74,70,87,50
14,66,71,77,73,90,52
15,68,74,80,75,94,54
16,71,77,83,78,98,56
17,73,80,86,81,101,58
18,76,83,89,83,105,60
19,78,,,86,109,62
20,81,,,88,113,64
21,84,,,91,116,66
22,86,,,93,,68
23,89,,,96,,70
24,91,,,98,,72
25,94,,,101,,74
26,96,,,103,,76
27,99,,,106,,78
28,101,,,,,
29,104,,,,,
30,107,,,,,
