raw,ta,tad
0,<45,<43
1,<45,<43
2,<45,<43
3,<45,<43
4,<45,<43
5,<45,<43
6,<45,<43
7,<45,<43
8,<45,<43
9,<45,<43
10,<45,<43
11,<45,<43
12,<45,<43
13,45,43
14,46,44
15,47,44
16,48,45
17,49,46
18,50,47
19,51,48
20,52,49
21,53,50
22,54,50
23,55,51
24,56,52
25,57,53
26,58,54
27,59,55
28,60,55
29,61,56
30,62,57
31,63,58
32,64,59
33,65,60
34,66,60
35,67,61
36,68,62
37,69,63
38,70,64
39,71,65
40,72,65
41,73,66
42,74,67
43,75,68
44,76,69
45,77,70
46,79,71
47,80,71
48,81,72
49,82,73
50,83,74
51,84,75
52,85,76
53,86,76
54,87,77
55,88,78
56,89,79
57,90,80
58,91,81
59,92,81
60,93,82
61,94,83
62,95,84
63,96,85
64,97,86
65,98,86
66,99,87
67,100,88
68,101,89
69,102,90
70,103,91
71,104,92
72,105,92
73,106,93
74,107,94
75,108,95
76,109,96
77,110,97
78,111,97
79,112,98
80,113,99
81,114,100
82,115,101
83,116,102
84,117,102
85,118,103
86,119,104
87,120,105
88,121,106
89,122,107
90,123,108
91,124,108
92,125,109
93,126,110
94,127,111
95,128,112
96,129,113
97,130,113
98,131,114
99,132,115
100,133,116
101,134,117
102,135,118
103,136,118
104,137,119
105,138,120
106,139,121
107,140,122
108,142,123
109,143,123
110,144,124
111,145,125
112,,126
113,,>126
114,,>126
115,,>126
116,,>126
117,,>126
118,,>126
119,,>126
120,,>126
121,,>126
122,,>126
123,,>126
124,,>126
125,,>126
126,,>126
127,,>126
128,,>126
129,,>126
130,,>126
131,,>126
132,,>126
133,,>126
134,,>126
135,,>126
136,,>126
137,,>126
138,,>126
139,,>126
140,,>126
141,,>126
142,,>126
143,,>126
144,,>126
145,,>126
146,,>126
147,,>126
148,,>126
149,,>126
150,,>126
151,,>126
152,,>126
153,,>126
154,,>126
155,,>126
156,,>126
157,,>126
158,,>126
159,,>126
160,,>126
161,,>126
162,,>126
163,,>126
164,,>126
165,,>126
166,,>126
167,,>126
168,,>126
169,,>126
170,,>126
171,,>126
172,,>126
173,,>126
174,,>126
175,,>126
176,,>126
177,,>126
178,,>126
179,,>126
180,,>126
