raw,ta,tad
0,<34,<33
1,<34,<33
2,<34,<33
3,<34,<33
4,<34,<33
5,<34,<33
6,<34,<33
7,<34,<33
8,<34,<33
9,<34,<33
10,<34,<33
11,<34,<33
12,<34,<33
13,34,33
14,35,33
15,35,34
16,36,34
17,36,35
18,37,35
19,38,36
20,38,36
21,39,37
22,39,37
23,40,38
24,41,38
25,41,39
26,42,39
27,42,40
28,43,40
29,43,40
30,44,41
31,45,41
32,45,42
33,46,42
34,46,43
35,47,43
36,47,44
37,48,44
38,49,45
39,49,45
40,50,46
41,50,46
42,51,47
43,51,47
44,52,48
45,53,48
46,53,49
47,54,49
48,54,49
49,55,50
50,56,50
51,56,51
52,57,51
53,57,52
54,58,52
55,58,53
56,59,53
57,60,54
58,60,54
59,61,55
60,61,55
61,62,56
62,62,56
63,63,57
64,64,57
65,64,58
66,65,58
67,65,59
68,66,59
69,66,59
70,67,60
71,68,60
72,68,61
73,69,61
74,69,62
75,70,62
76,71,63
77,71,63
78,72,64
79,72,64
80,73,65
81,73,65
82,74,66
83,75,66
84,75,67
85,76,67
86,76,68
87,77,68
90,79,69
91,79,70
92,80,70
93,80,71
94,81,71
95,82,72
96,82,72
97,83,73
98,83,73
99,84,74
100,84,74
101,85,75
102,86,75
103,86,76
104,87,76
105,87,77
106,88,77
107,88,78
108,89,78
109,90,78
110,90,79
111,91,79
112,,80
113,,>80
114,,>80
115,,>80
116,,>80
117,,>80
118,,>80
119,,>80
120,,>80
121,,>80
122,,>80
123,,>80
124,,>80
125,,>80
126,,>80
127,,>80
128,,>80
129,,>80
130,,>80
131,,>80
132,,>80
133,,>80
134,,>80
135,,>80
136,,>80
137,,>80
138,,>80
139,,>80
140,,>80
141,,>80
142,,>80
143,,>80
144,,>80
145,,>80
146,,>80
147,,>80
148,,>80
149,,>80
150,,>80
151,,>80
152,,>80
153,,>80
154,,>80
155,,>80
156,,>80
157,,>80
158,,>80
159,,>80
160,,>80
161,,>80
162,,>80
163,,>80
164,,>80
165,,>80
166,,>80
167,,>80
168,,>80
169,,>80
170,,>80
171,,>80
172,,>80
173,,>80
174,,>80
175,,>80
176,,>80
177,,>80
178,,>80
179,,>80
180,,>80
