raw,dep,anx,oc,pan,sep,soc
0,35,36,41,41,41,30
1,38,40,45,45,46,32
2,41,44,48,49,52,35
3,44,47,51,53,57,37
4,47,51,55,58,62,40
5,49,55,58,62,68,42
6,52,58,61,66,73,44
7,55,62,65,71,78,47
8,58,66,68,75,83,49
9,61,69,71,79,89,51
10,64,73,74,83,94,54
11,66,76,78,88,99,56
12,69,80,81,92,105,59
13,72,84,84,96,110,61
14,75,87,88,100,115,63
15,78,91,91,105,120,66
16,81,95,94,109,126,68
17,84,98,98,113,131,71
18,86,102,101,118,136,73
19,89,,,122,142,75
20,92,,,126,147,78
21,95,,,130,152,80
22,98,,,135,,82
23,101,,,139,,85
24,104,,,143,,87
25,106,,,147,,90
26,109,,,152,,92
27,112,,,156,,94
28,115,,,,,
29,118,,,,,
30,121,,,,,
