raw,dep,anx,oc,pan,sep,soc
0,37,36,42,40,36,28
1,41,40,46,45,39,31
2,44,43,50,51,42,33
3,48,46,54,56,46,36
4,51,50,58,61,49,39
5,54,53,62,66,52,41
6,58,56,66,72,56,44
7,61,60,70,77,59,46
8,65,63,75,82,62,49
9,68,66,79,87,66,51
10,71,70,83,93,69,54
11,75,73,87,98,72,57
12,78,76,91,103,76,59
13,82,80,95,108,79,62
14,85,83,99,114,82,64
15,89,86,103,119,86,67
16,92,90,107,124,89,69
17,95,93,112,129,92,72
18,99,96,116,135,96,75
19,102,,,140,99,77
20,106,,,145,102,80
21,109,,,151,106,82
22,112,,,156,,85
23,116,,,161,,88
24,119,,,166,,90
25,123,,,172,,93
26,126,,,177,,95
27,129,,,182,,98
28,133,,,,,
29,136,,,,,
30,140,,,,,
