raw,dep,anx,oc,pan,sep,soc
0,30,29,31,37,38,28
1,32,32,34,40,40,31
2,35,35,37,42,43,33
3,37,38,40,45,45,35
4,40,41,43,47,48,37
5,42,44,46,49,50,39
6,44,47,50,52,53,42
7,47,50,53,54,55,44
8,49,53,56,57,58,46
9,52,56,59,59,61,48
10,54,59,62,61,63,51
11,57,62,65,64,66,53
12,59,65,68,66,68,55
13,62,68,71,69,71,57
14,64,71,75,71,73,59
15,67,74,78,73,76,62
16,69,77,81,76,78,64
17,71,80,84,78,81,66
18,74,83,87,81,83,68
19,76,,,83,86,70
20,79,,,86,88,73
21,81,,,88,91,75
22,84,,,90,,77
23,86,,,93,,79
24,89,,,95,,82
25,91,,,98,,84
26,93,,,100,,86
27,96,,,102,,88
28,98,,,,,
29,101,,,,,
30,103,,,,,
