raw,dep,anx,oc,pan,sep,soc
0,35,34,42,41,40,31
1,38,38,47,45,45,33
2,41,42,51,50,50,36
3,44,47,55,54,55,38
4,47,51,59,59,61,40
5,50,55,64,63,66,42
6,53,60,68,67,71,45
7,57,64,72,72,76,47
8,60,69,76,76,81,49
9,63,73,81,81,86,51
10,66,77,85,85,91,54
11,69,82,89,89,96,56
12,72,86,94,94,101,58
13,76,91,98,98,106,61
14,79,95,102,103,111,63
15,82,99,106,107,116,65
16,85,104,111,111,121,67
17,88,108,115,116,126,70
18,91,112,119,120,131,72
19,94,,,125,136,74
20,98,,,129,141,77
21,101,,,134,146,79
22,104,,,138,,81
23,107,,,142,,83
24,110,,,147,,86
25,113,,,151,,88
26,117,,,156,,90
27,120,,,160,,93
28,123,,,,,
29,126,,,,,
30,129,,,,,
