raw,ta,tad
0,<44,<43
1,<44,<43
2,<44,<43
3,<44,<43
4,<44,<43
5,<44,<43
6,<44,<43
7,<44,<43
8,<44,<43
9,<44,<43
10,<44,<43
11,<44,<43
12,<44,<43
13,44,43
14,45,44
15,46,44
16,47,45
17,47,45
18,48,46
19,49,47
20,50,47
21,50,48
22,51,49
23,52,49
24,53,50
25,54,51
26,54,51
27,55,52
28,56,52
29,57,53
30,57,54
31,58,54
32,59,55
33,60,56
34,61,56
35,61,57
36,62,57
37,63,58
38,64,59
39,64,59
40,65,60
41,66,61
42,67,61
43,68,62
44,68,63
45,69,63
46,70,64
47,71,64
48,71,65
49,72,66
50,73,66
51,74,67
52,75,68
53,75,68
54,76,69
55,77,70
56,78,70
57,78,71
58,79,71
59,80,72
60,81,73
61,81,73
62,82,74
63,83,75
64,84,75
65,85,76
66,85,76
67,86,77
68,87,78
69,88,78
70,88,79
71,89,80
72,90,80
73,91,81
74,92,82
75,92,82
76,93,83
77,94,83
78,95,84
79,95,85
80,96,85
81,97,86
82,98,87
83,99,87
84,99,88
85,100,88
86,101,89
87,102,90
88,102,90
89,103,91
90,104,92
91,105,92
92,106,93
93,106,94
94,107,94
95,108,95
96,109,95
97,109,96
98,110,97
99,111,97
100,112,98
101,113,99
102,113,99
103,114,100
104,115,100
105,116,101
106,116,102
107,117,102
108,118,103
109,119,104
110,120,104
111,120,105
112,,106
113,,>106
114,,>106
115,,>106
116,,>106
117,,>106
118,,>106
119,,>106
120,,>106
121,,>106
122,,>106
123,,>106
124,,>106
125,,>106
126,,>106
127,,>106
128,,>106
129,,>106
130,,>106
131,,>106
132,,>106
133,,>106
134,,>106
135,,>106
136,,>106
137,,>106
138,,>106
139,,>106
140,,>106
141,,>106
142,,>106
143,,>106
144,,>106
145,,>106
146,,>106
147,,>106
148,,>106
149,,>106
150,,>106
151,,>106
152,,>106
153,,>106
154,,>106
155,,>106
156,,>106
157,,>106
158,,>106
159,,>106
160,,>106
161,,>106
162,,>106
163,,>106
164,,>106
165,,>106
166,,>106
167,,>106
168,,>106
169,,>106
170,,>106
171,,>106
172,,>106
173,,>106
174,,>106
175,,>106
176,,>106
177,,>106
178,,>106
179,,>106
180,,>106
