raw,dep,anx,oc,pan,sep,soc
0,38,39,43,41,42,31
1,41,42,47,46,46,33
2,44,45,50,51,50,36
3,47,48,54,55,54,38
4,50,52,58,60,58,40
5,53,55,62,65,62,42
6,56,58,66,70,66,44
7,59,62,70,74,70,46
8,62,65,74,79,74,48
9,65,68,78,84,78,50
10,69,72,82,88,82,52
11,72,75,85,93,87,55
12,75,78,89,98,91,57
13,78,82,93,102,95,59
14,81,85,97,107,99,61
15,84,88,101,112,103,63
16,87,92,105,117,107,65
17,90,95,109,121,111,67
18,93,98,113,126,115,69
19,96,,,131,119,72
20,99,,,135,123,74
21,102,,,140,127,76
22,105,,,145,,78
23,109,,,149,,80
24,112,,,154,,82
25,115,,,159,,84
26,118,,,163,,86
27,121,,,168,,88
28,124,,,,,
29,127,,,,,
30,130,,,,,
