raw,dep,anx,oc,pan,sep,soc
0,31,30,33,36,41,26
1,33,33,37,40,46,28
2,36,36,40,43,50,31
3,39,39,43,47,55,33
4,41,42,46,51,60,35
5,44,45,49,54,65,37
6,47,48,53,58,70,40
7,49,51,56,62,75,42
8,52,54,59,66,80,44
9,54,57,62,69,85,46
10,57,59,65,73,90,49
11,60,62,69,77,95,51
12,62,65,72,80,100,53
13,65,68,75,84,105,55
14,68,71,78,88,110,57
15,70,74,81,91,115,60
16,73,77,85,95,119,62
17,75,80,88,99,124,64
18,78,83,91,102,129,66
19,81,,,106,134,69
20,83,,,110,139,71
21,86,,,114,144,73
22,89,,,117,,75
23,91,,,121,,77
24,94,,,125,,80
25,96,,,128,,82
26,99,,,132,,84
27,102,,,136,,86
28,104,,,,,
29,107,,,,,
30,110,,,,,
