raw,ta,tad
0,<37,<35
1,<37,<35
2,<37,<35
3,<37,<35
4,<37,<35
5,<37,<35
6,<37,<35
7,<37,<35
8,<37,<35
9,<37,<35
10,<37,<35
11,<37,<35
12,<37,<35
13,37,35
14,38,35
15,39,36
16,40,37
17,41,37
18,41,38
19,42,39
20,43,39
21,44,40
22,45,41
23,46,41
24,46,42
25,47,43
26,48,43
27,49,44
28,50,45
29,51,46
30,51,46
31,52,47
32,53,48
33,54,48
34,55,49
35,56,50
36,56,50
37,57,51
38,58,52
39,59,52
40,60,53
41,61,54
42,61,54
43,62,55
44,63,56
45,64,57
46,65,57
47,66,58
48,66,59
49,67,59
50,68,60
51,69,61
52,70,61
53,71,62
54,71,63
55,72,63
56,73,64
57,74,65
58,75,65
59,76,66
60,76,67
61,77,68
62,78,68
63,79,69
64,80,70
65,81,70
66,81,71
67,82,72
68,83,72
69,84,73
70,85,74
71,86,74
72,86,75
73,87,76
74,88,76
75,89,77
76,90,78
77,91,79
78,91,79
79,92,80
80,93,81
81,94,81
82,95,82
83,96,83
84,96,83
85,97,84
86,98,85
87,99,85
88,100,86
89,101,87
90,101,87
91,102,88
92,103,89
93,104,90
94,105,90
95,106,91
96,106,92
97,107,92
98,108,93
99,109,94
100,110,94
101,111,95
102,111,96
103,112,96
104,113,97
105,114,98
106,115,99
107,116,99
108,116,100
109,117,101
110,118,101
111,119,102
112,,103
113,,>103
114,,>103
115,,>103
116,,>103
117,,>103
118,,>103
119,,>103
120,,>103
121,,>103
122,,>103
123,,>103
124,,>103
125,,>103
126,,>103
127,,>103
128,,>103
129,,>103
130,,>103
131,,>103
132,,>103
133,,>103
134,,>103
135,,>103
136,,>103
137,,>103
138,,>103
139,,>103
140,,>103
141,,>103
142,,>103
143,,>103
144,,>103
145,,>103
146,,>103
147,,>103
148,,>103
149,,>103
150,,>103
151,,>103
152,,>103
153,,>103
154,,>103
155,,>103
156,,>103
157,,>103
158,,>103
159,,>103
160,,>103
161,,>103
162,,>103
163,,>103
164,,>103
165,,>103
166,,>103
167,,>103
168,,>103
169,,>103
170,,>103
171,,>103
172,,>103
173,,>103
174,,>103
175,,>103
176,,>103
177,,>103
178,,>103
179,,>103
180,,>103
