raw,dep,anx,oc,pan,sep,soc
0,32,30,35,39,41,27
1,34,33,38,42,45,29
2,37,37,41,45,49,31
3,40,40,43,48,53,33
4,43,43,46,51,57,35
5,45,46,49,54,61,37
6,48,49,52,57,65,39
7,51,53,55,60,69,41
8,54,56,58,63,73,44
9,56,59,61,66,77,46
10,59,62,64,69,81,48
11,62,65,67,72,85,50
12,65,68,70,75,89,52
13,67,72,73,78,93,54
14,70,75,76,81,98,56
15,73,78,79,84,102,58
16,76,81,82,87,106,60
17,78,84,85,90,110,63
18,81,88,88,93,114,65
19,84,,,96,118,67
20,87,,,99,122,69
21,89,,,102,126,71
22,92,,,105,,73
23,95,,,108,,75
24,98,,,111,,77
25,100,,,114,,79
26,103,,,117,,82
27,106,,,120,,84
28,108,,,,,
29,111,,,,,
30,114,,,,,
