raw,dep,anx,oc,pan,sep,soc
0,32,29,29,36,34,27
1,34,32,32,38,36,29
2,36,35,35,40,38,31
3,38,37,37,43,41,33
4,40,40,40,45,43,35
5,42,43,43,47,45,37
6,44,45,46,49,48,39
7,46,48,48,51,50,41
8,48,51,51,53,52,43
9,51,53,54,55,55,45
10,53,56,56,57,57,47
11,55,59,59,59,59,49
12,57,61,62,62,61,51
13,59,64,65,64,64,53
14,61,67,67,66,66,55
15,63,69,70,68,68,57
16,65,72,73,70,71,59
17,67,74,75,72,73,61
18,69,77,78,74,75,63
19,72,,,76,78,65
20,74,,,79,80,67
21,76,,,81,82,69
22,78,,,83,,71
23,80,,,85,,73
24,82,,,87,,75
25,84,,,89,,77
26,86,,,91,,79
27,88,,,93,,81
28,91,,,,,
29,93,,,,,
30,95,,,,,
