raw,ta,tad
0,<44,<43
1,<44,<43
2,<44,<43
3,<44,<43
4,<44,<43
5,<44,<43
6,<44,<43
7,<44,<43
8,<44,<43
9,<44,<43
10,<44,<43
11,<44,<43
12,<44,<43
13,44,43
14,45,44
15,46,44
16,47,45
17,47,46
18,48,46
19,49,47
20,50,48
21,51,48
22,52,49
23,52,50
24,53,50
25,54,51
26,55,52
27,56,53
28,57,53
29,57,54
30,58,55
31,59,55
32,60,56
33,61,57
34,62,57
35,62,58
36,63,59
37,64,59
38,65,60
39,66,61
40,67,61
41,67,62
42,68,63
43,69,63
44,70,64
45,71,65
46,72,66
47,72,66
48,73,67
49,74,68
50,75,68
51,76,69
52,77,70
53,78,70
54,78,71
55,79,72
56,80,72
57,81,73
58,82,74
59,83,74
60,83,75
61,84,76
62,85,77
63,86,77
64,87,78
65,88,79
66,88,79
67,89,80
68,90,81
69,91,81
70,92,82
71,93,83
72,93,83
73,94,84
74,95,85
75,96,85
76,97,86
77,98,87
78,98,88
79,99,88
80,100,89
81,101,90
82,102,90
83,103,91
84,103,92
85,104,92
86,105,93
87,106,94
88,107,94
89,108,95
90,108,96
91,109,96
92,110,97
93,111,98
94,112,98
95,113,99
96,113,100
97,114,101
98,115,101
99,116,102
100,117,103
101,118,103
102,118,104
103,119,105
104,120,105
105,121,106
106,122,107
107,123,107
108,123,108
109,124,109
110,125,109
111,126,110
112,,111
113,,>111
114,,>111
115,,>111
116,,>111
117,,>111
118,,>111
119,,>111
120,,>111
121,,>111
122,,>111
123,,>111
124,,>111
125,,>111
126,,>111
127,,>111
128,,>111
129,,>111
130,,>111
131,,>111
132,,>111
133,,>111
134,,>111
135,,>111
136,,>111
137,,>111
138,,>111
139,,>111
140,,>111
141,,>111
142,,>111
143,,>111
144,,>111
145,,>111
146,,>111
147,,>111
148,,>111
149,,>111
150,,>111
151,,>111
152,,>111
153,,>111
154,,>111
155,,>111
156,,>111
157,,>111
158,,>111
159,,>111
160,,>111
161,,>111
162,,>111
163,,>111
164,,>111
165,,>111
166,,>111
167,,>111
168,,>111
169,,>111
170,,>111
171,,>111
172,,>111
173,,>111
174,,>111
175,,>111
176,,>111
177,,>111
178,,>111
179,,>111
180,,>111
