raw,ta,tad
0,<46,<44
1,<46,<44
2,<46,<44
3,<46,<44
4,<46,<44
5,<46,<44
6,<46,<44
7,<46,<44
8,<46,<44
9,<46,<44
10,<46,<44
11,<46,<44
12,<46,<44
13,46,44
14,47,45
15,48,46
16,49,46
17,50,47
18,51,48
19,52,49
20,53,49
21,54,50
22,55,51
23,55,52
24,56,52
25,57,53
26,58,54
27,59,55
28,60,55
29,61,56
30,62,57
31,63,58
32,64,59
33,65,59
34,66,60
35,67,61
36,68,62
37,69,62
38,70,63
39,71,64
40,71,65
41,72,65
42,73,66
43,74,67
44,75,68
45,76,68
46,77,69
47,78,70
48,79,71
49,80,71
50,81,72
51,82,73
52,83,74
53,84,74
54,85,75
55,86,76
56,87,77
57,87,77
58,88,78
59,89,79
60,90,80
61,91,80
62,92,81
63,93,82
64,94,83
65,95,84
66,96,84
67,97,85
68,98,86
69,99,87
70,100,87
71,101,88
72,102,89
73,103,90
74,103,90
75,104,91
76,105,92
77,106,93
78,107,93
79,108,94
80,109,95
81,110,96
82,111,96
83,112,97
84,113,98
85,114,99
86,115,99
87,116,100
88,117,101
89,118,102
90,119,102
91,119,103
92,120,104
93,121,105
94,122,105
95,123,106
96,124,107
97,125,108
98,126,109
99,127,109
100,128,110
101,129,111
102,130,112
103,131,112
104,132,113
105,133,114
106,134,115
107,135,115
108,135,116
109,136,117
110,137,118
111,138,118
112,,119
113,,>119
114,,>119
115,,>119
116,,>119
117,,>119
118,,>119
119,,>119
120,,>119
121,,>119
122,,>119
123,,>119
124,,>119
125,,>119
126,,>119
127,,>119
128,,>119
129,,>119
130,,>119
131,,>119
132,,>119
133,,>119
134,,>119
135,,>119
136,,>119
137,,>119
138,,>119
139,,>119
140,,>119
141,,>119
142,,>119
143,,>119
144,,>119
145,,>119
146,,>119
147,,>119
148,,>119
149,,>119
150,,>119
151,,>119
152,,>119
153,,>119
154,,>119
155,,>119
156,,>119
157,,>119
158,,>119
159,,>119
160,,>119
161,,>119
162,,>119
163,,>119
164,,>119
165,,>119
166,,>119
167,,>119
168,,>119
169,,>119
170,,>119
171,,>119
172,,>119
173,,>119
174,,>119
175,,>119
176,,>119
177,,>119
178,,>119
179,,>119
180,,>119
