raw,dep,anx,oc,pan,sep,soc
0,29,27,36,38,38,24
1,31,30,38,40,42,26
2,33,33,41,42,46,28
3,36,35,44,45,50,30
4,38,38,46,47,54,32
5,40,41,49,49,58,34
6,42,43,51,52,61,36
7,45,46,54,54,65,38
8,47,49,57,56,69,40
9,49,51,59,59,73,42
10,51,54,62,61,77,44
11,54,57,64,63,81,46
12,56,59,67,66,85,48
13,58,62,70,68,89,50
14,60,65,72,70,93,52
15,63,68,75,73,96,54
16,65,70,78,75,100,56
17,67,73,80,77,104,58
18,69,76,83,80,108,60
19,72,,,82,112,62
20,74,,,84,116,64
21,76,,,87,120,66
22,78,,,89,,68
23,81,,,91,,70
24,83,,,94,,72
25,85,,,96,,74
26,87,,,98,,76
27,90,,,101,,78
28,92,,,,,
29,94,,,,,
30,96,,,,,
