raw,dep,anx,oc,pan,sep,soc
0,39,37,43,41,41,31
1,42,41,48,46,45,34
2,45,45,53,51,50,36
3,48,49,58,56,54,38
4,51,53,63,61,58,40
5,54,57,69,66,63,42
6,57,61,74,71,67,44
7,60,65,79,76,71,47
8,63,69,84,81,75,49
9,66,73,89,86,80,51
10,69,77,94,91,84,53
11,72,81,99,96,88,55
12,75,85,105,101,93,57
13,78,88,110,106,97,59
14,81,92,115,112,101,62
15,84,96,120,117,105,64
16,87,100,125,122,110,66
17,90,104,130,127,114,68
18,93,108,136,132,118,70
19,96,,,137,123,72
20,99,,,142,127,74
21,102,,,147,131,77
22,105,,,152,,79
23,108,,,157,,81
24,111,,,162,,83
25,114,,,167,,85
26,116,,,172,,87
27,119,,,177,,90
28,122,,,,,
29,125,,,,,
30,128,,,,,
