raw,ta,tad
0,<43,<41
1,<43,<41
2,<43,<41
3,<43,<41
4,<43,<41
5,<43,<41
6,<43,<41
7,<43,<41
8,<43,<41
9,<43,<41
10,<43,<41
11,<43,<41
12,<43,<41
13,43,41
14,44,42
15,45,42
16,45,43
17,46,44
18,47,45
19,48,46
20,49,46
21,50,47
22,51,48
23,52,49
24,53,50
25,54,50
26,55,51
27,56,52
28,57,53
29,58,54
30,59,54
31,60,55
32,61,56
33,62,57
34,63,58
35,64,58
36,64,59
37,65,60
38,66,61
39,67,62
40,68,63
41,69,63
42,70,64
43,71,65
44,72,66
45,73,67
46,74,67
47,75,68
48,76,69
49,77,70
50,78,71
51,79,71
52,80,72
53,81,73
54,82,74
55,83,75
56,83,75
57,84,76
58,85,77
59,86,78
60,87,79
61,88,79
62,89,80
63,90,81
64,91,82
65,92,83
66,93,84
67,94,84
68,95,85
69,96,86
70,97,87
71,98,88
72,99,88
73,100,89
74,101,90
75,102,91
76,102,92
77,103,92
78,104,93
79,105,94
80,106,95
81,107,96
82,108,96
83,109,97
84,110,98
85,111,99
86,112,100
87,113,100
88,114,101
89,115,102
90,116,103
91,117,104
92,118,104
93,119,105
94,120,106
95,121,107
96,122,108
97,122,109
98,123,109
99,124,110
100,125,111
101,126,112
102,127,113
103,128,113
104,129,114
105,130,115
106,131,116
107,132,117
108,133,117
109,134,118
110,135,119
111,136,120
112,,121
113,,>121
114,,>121
115,,>121
116,,>121
117,,>121
118,,>121
119,,>121
120,,>121
121,,>121
122,,>121
123,,>121
124,,>121
125,,>121
126,,>121
127,,>121
128,,>121
129,,>121
130,,>121
131,,>121
132,,>121
133,,>121
134,,>121
135,,>121
136,,>121
137,,>121
138,,>121
139,,>121
140,,>121
141,,>121
142,,>121
143,,>121
144,,>121
145,,>121
146,,>121
147,,>121
148,,>121
149,,>121
150,,>121
151,,>121
152,,>121
153,,>121
154,,>121
155,,>121
156,,>121
157,,>121
158,,>121
159,,>121
160,,>121
161,,>121
162,,>121
163,,>121
164,,>121
165,,>121
166,,>121
167,,>121
168,,>121
169,,>121
170,,>121
171,,>121
172,,>121
173,,>121
174,,>121
175,,>121
176,,>121
177,,>121
178,,>121
179,,>121
180,,>121
