raw,ta,tad
0,<35,<33
1,<35,<33
2,<35,<33
3,<35,<33
4,<35,<33
5,<35,<33
6,<35,<33
7,<35,<33
8,<35,<33
9,<35,<33
10,<35,<33
11,<35,<33
12,<35,<33
13,35,33
14,36,33
15,37,34
16,37,35
17,38,35
18,39,36
19,39,36
20,40,37
21,41,37
22,41,38
23,42,38
24,43,39
25,43,39
26,44,40
27,45,41
28,45,41
29,46,42
30,47,42
31,47,43
32,48,43
33,49,44
34,49,44
35,50,45
36,51,45
37,51,46
38,52,47
39,53,47
40,53,48
41,54,48
42,55,49
43,55,49
44,56,50
45,57,50
46,57,51
47,58,52
48,59,52
49,59,53
50,60,53
51,61,54
52,61,54
53,62,55
54,63,55
55,63,56
56,64,56
57,65,57
58,65,58
59,66,58
60,67,59
61,67,59
62,68,60
63,69,60
64,70,61
65,70,61
66,71,62
67,72,62
68,72,63
69,73,64
70,74,64
71,74,65
72,75,65
73,76,66
74,76,66
75,77,67
76,78,67
77,78,68
78,79,68
79,80,69
80,80,70
81,81,70
82,82,71
83,82,71
84,83,72
85,84,72
86,84,73
87,85,73
88,86,74
89,86,74
90,87,75
91,88,76
92,88,76
93,89,77
94,90,77
95,90,78
96,91,78
97,92,79
98,92,79
99,93,80
100,94,80
101,94,81
102,95,82
103,96,82
104,96,83
105,97,83
106,98,84
107,98,84
108,99,85
109,100,85
110,100,86
111,101,87
112,,87
113,,>87
114,,>87
115,,>87
116,,>87
117,,>87
118,,>87
119,,>87
120,,>87
121,,>87
122,,>87
123,,>87
124,,>87
125,,>87
126,,>87
127,,>87
128,,>87
129,,>87
130,,>87
131,,>87
132,,>87
133,,>87
134,,>87
135,,>87
136,,>87
137,,>87
138,,>87
139,,>87
140,,>87
141,,>87
142,,>87
143,,>87
144,,>87
145,,>87
146,,>87
147,,>87
148,,>87
149,,>87
150,,>87
151,,>87
152,,>87
153,,>87
154,,>87
155,,>87
156,,>87
157,,>87
158,,>87
159,,>87
160,,>87
161,,>87
162,,>87
163,,>87
164,,>87
165,,>87
166,,>87
167,,>87
168,,>87
169,,>87
170,,>87
171,,>87
172,,>87
173,,>87
174,,>87
175,,>87
176,,>87
177,,>87
178,,>87
179,,>87
180,,>87
