raw,att,att_perc,comm,comm_perc,dp,dp_perc,inv,inv_perc,pc,pc_perc,sws,sws_perc,rf,rf_perc
48,,,,,,,,,,,,,100,99
47,,,,,,,,,,,,,100,99
46,,,,,,,,,,,,,100,99
45,64,95,,,,,,,,,,,100,99
44,63,90,,,,,,,,,,,100,99
43,61,85,,,,,,,,,,,99,99
42,60,79,,,,,,,,,,,98,99
41,58,73,,,,,,,,,,,96,99
40,56,68,,,,,,,,,,,95,99
39,55,62,62,90,,,,,,,,,93,99
38,53,57,60,83,,,,,,,,,92,99
37,52,52,58,75,,,,,,,,,90,99
36,50,47,56,68,,,,,67,98,,,88,99
35,49,42,54,60,,,,,65,94,,,87,99
34,47,38,53,53,,,,,63,89,,,85,99
33,46,33,51,46,,,,,61,83,,,84,99
32,44,29,49,40,,,,,59,77,,,82,99
31,43,25,47,34,,,,,56,70,,,81,99
30,41,22,45,29,,,,,54,63,61,91,79,99
29,40,18,43,25,,,,,52,56,60,82,78,99
28,38,15,41,20,,,,,50,48,58,74,76,99
27,37,12,40,17,67,97,71,98,48,41,56,67,75,99
26,35,9,38,13,64,93,69,97,46,35,55,60,73,98
25,33,7,36,11,62,87,67,95,44,28,53,54,72,98
24,32,5,34,8,59,80,65,92,41,22,52,48,70,97
23,30,3,32,6,57,73,63,89,39,17,50,43,68,96
22,29,2,30,4,55,64,61,84,37,12,48,38,67,95
21,27,1,29,3,52,56,59,79,35,8,47,33,65,93
20,26,1,27,2,50,47,56,74,33,5,45,29,64,91
19,24,1,25,1,47,39,54,67,31,2,44,26,62,88
18,23,1,23,1,45,31,52,60,28,1,42,22,61,86
17,21,1,21,1,42,24,50,53,26,1,40,19,59,82
16,20,1,19,1,40,18,48,45,24,1,39,16,58,78
15,18,1,17,1,37,12,46,37,22,1,37,14,56,74
14,17,1,16,1,35,8,44,30,20,1,35,11,55,69
13,15,1,14,1,32,5,42,22,18,1,34,9,53,64
12,13,1,12,1,30,2,40,16,16,1,32,7,52,58
11,12,1,10,1,27,1,37,10,13,1,31,5,50,52
10,10,1,10,1,25,1,35,6,11,1,29,4,48,46
9,10,1,10,1,23,1,33,3,10,1,27,2,47,40
8,10,1,10,1,20,1,31,1,10,1,26,1,45,34
7,10,1,10,1,18,1,29,1,10,1,24,1,44,28
6,10,1,10,1,15,1,27,1,10,1,23,1,42,23
5,10,1,10,1,13,1,25,1,10,1,21,1,41,18
4,10,1,10,1,10,1,23,1,10,1,19,1,39,14
3,10,1,10,1,11,1,20,1,10,1,18,1,38,11
2,10,1,10,1,10,1,18,1,10,1,16,1,36,8
1,10,1,10,1,10,1,16,1,10,1,14,1,35,5
0,10,1,10,1,10,1,14,1,10,1,13,1,33,4
