raw,state,state_perc,trait,trait_perc
80,94,100,102,100
79,93,100,101,100
78,92,100,100,100
77,91,100,99,100
76,90,100,97,100
75,89,100,96,100
74,88,100,95,100
73,87,100,94,100
72,86,100,93,100
71,85,100,92,100
70,84,100,91,100
69,83,100,90,100
68,82,100,88,100
67,81,100,87,100
66,80,100,86,100
65,80,100,85,100
64,79,99,84,100
63,78,99,83,100
62,77,99,82,100
61,76,99,81,100
60,75,98,80,100
59,74,98,78,100
58,73,97,77,100
57,72,97,76,99
56,71,96,75,98
55,70,96,74,98
54,69,96,73,98
53,68,95,72,97
52,67,94,70,96
51,66,94,69,96
50,65,92,68,94
49,64,91,67,94
48,63,89,66,93
47,62,87,65,92
46,61,85,64,91
45,60,84,63,90
44,59,83,61,88
43,58,81,60,86
42,57,79,59,84
41,56,76,58,81
40,55,74,57,77
39,54,72,56,74
38,53,69,55,71
37,52,66,54,68
36,51,64,52,63
35,51,60,51,61
34,50,55,50,59
33,49,52,49,55
32,48,48,48,49
31,47,45,47,45
30,46,40,46,39
29,45,36,45,36
28,44,33,43,31
27,43,28,42,27
26,42,26,41,24
25,41,21,40,19
24,40,18,39,15
23,39,16,38,11
22,38,11,37,8
21,37,9,35,6
20,36,6,34,3
