raw,state,state_perc,trait,trait_perc
80,90,100,98,100
79,89,100,97,100
78,88,100,96,100
77,87,100,95,100
76,86,100,94,100
75,85,100,93,100
74,84,100,92,100
73,84,100,91,100
72,83,100,90,100
71,82,100,89,100
70,81,100,88,100
69,80,100,87,100
68,79,100,85,100
67,78,100,84,100
66,77,99,83,100
65,76,99,82,100
64,75,99,81,100
63,74,98,80,100
62,74,96,79,99
61,73,96,78,99
60,72,96,77,99
59,71,96,76,99
58,70,96,75,99
57,69,94,74,99
56,68,94,73,97
55,67,93,71,96
54,66,93,70,95
53,65,93,69,94
52,64,91,68,93
51,64,89,67,92
50,63,87,66,92
49,62,87,65,92
48,61,87,64,90
47,60,85,63,89
46,59,82,62,87
45,58,81,61,87
44,57,78,60,84
43,56,75,59,82
42,55,74,57,80
41,55,72,56,78
40,54,67,55,78
39,53,67,54,74
38,52,67,53,70
37,51,64,52,65
36,50,58,51,63
35,49,55,50,57
34,48,53,49,53
33,47,50,48,50
32,46,49,47,45
31,45,43,46,44
30,45,39,45,37
29,44,33,44,33
28,43,24,42,27
27,42,22,41,22
26,41,19,40,17
25,40,16,39,14
24,39,16,38,11
23,38,13,37,7
22,37,8,36,5
21,36,5,35,2
20,36,3,34,0
