raw,state,state_perc,trait,trait_perc
80,105,100,112,100
79,104,100,111,100
78,102,100,109,100
77,101,100,108,100
76,100,100,107,100
75,99,100,106,100
74,98,100,104,100
73,97,100,103,100
72,96,100,102,100
71,95,100,100,100
70,94,100,99,100
69,92,100,98,100
68,91,100,97,100
67,90,100,95,100
66,89,100,94,100
65,88,99,93,100
64,86,99,91,100
63,85,99,90,100
62,84,99,89,100
61,83,99,88,100
60,82,99,86,100
59,81,99,85,100
58,80,99,84,100
57,78,99,82,100
56,77,99,81,100
55,76,99,80,100
54,75,99,79,100
53,74,99,77,99
52,73,99,76,99
51,72,99,75,99
50,71,99,73,98
49,69,97,72,97
48,68,97,71,97
47,67,93,70,97
46,66,93,68,97
45,65,93,67,96
44,63,93,66,95
43,62,90,64,93
42,61,87,63,92
41,60,85,62,88
40,59,82,61,84
39,58,80,59,83
38,57,76,58,81
37,55,74,57,76
36,54,72,55,73
35,53,69,54,69
34,52,66,53,66
33,51,61,52,59
32,50,59,50,56
31,49,51,49,51
30,47,47,48,44
29,46,37,46,39
28,45,35,45,34
27,44,32,44,31
26,43,31,42,30
25,42,28,41,27
24,40,24,40,23
23,39,22,39,19
22,38,12,37,14
21,37,8,36,8
20,36,5,35,7
