raw,state,state_perc,trait,trait_perc
80,92,100,101,100
79,91,100,99,100
78,90,100,98,100
77,89,100,97,100
76,88,100,96,100
75,87,100,95,100
74,86,100,94,100
73,85,100,93,100
72,84,100,92,100
71,83,100,90,100
70,82,100,89,100
69,81,100,88,100
68,81,100,87,100
67,80,99,86,100
66,79,99,85,100
65,78,98,84,100
64,77,98,83,100
63,76,98,81,100
62,75,98,80,100
61,74,98,79,100
60,73,98,78,100
59,72,97,77,100
58,71,96,76,99
57,70,96,75,99
56,69,95,74,99
55,68,94,72,98
54,67,94,71,97
53,66,93,70,97
52,65,93,69,96
51,64,92,68,94
50,63,90,67,93
49,62,89,66,92
48,62,88,65,90
47,61,87,63,89
46,60,85,62,87
45,59,83,61,86
44,58,81,60,84
43,57,78,59,82
42,56,76,58,81
41,55,72,57,78
40,54,70,56,76
39,53,67,54,73
38,52,64,53,68
37,51,62,52,65
36,50,58,51,62
35,49,56,50,60
34,48,53,49,54
33,47,48,48,49
32,46,43,47,44
31,45,39,45,39
30,44,35,44,34
29,43,27,43,28
28,43,24,42,24
27,42,22,41,21
26,41,19,40,18
25,40,16,39,14
24,39,14,38,11
23,38,12,36,8
22,37,9,35,5
21,36,6,34,3
20,35,5,33,1
