raw,pst
0,30
1,30
2,35
3,38
4,40
5,41
6,43
7,44
8,45
9,47
10,48
11,48
12,49
13,50
14,50
15,51
16,51
17,52
18,53
19,54
20,54
21,55
22,56
23,56
24,57
25,58
26,58
27,58
28,59
29,59
30,60
31,60
32,61
33,61
34,62
35,62
36,63
37,63
38,63
39,64
40,64
41,64
42,65
43,65
44,66
45,66
46,67
47,67
48,67
49,68
50,68
51,69
52,69
53,70
54,70
55,71
56,71
57,71
58,72
59,72
60,72
61,73
62,73
63,73
64,74
65,74
66,75
67,75
68,75
69,76
70,76
71,76
72,77
73,77
74,78
75,78
76,78
77,79
78,79
79,79
80,80
81,80
82,81
83,81
84,81
85,81
86,81
87,81
88,81
89,81
90,81
