value,distract_hyper,adaptability,reinforcesparent,demandingness,mood,acceptability,coompetence,isolation,attachment,health,rolerestriction,depression,spouse
65,,,,,,,94,,,,,,
64,,,,,,,93,,,,,,
63,,,,,,,92,,,,,,
62,,,,,,,91,,,,,,
61,,,,,,,89,,,,,,
60,,,,,,,88,,,,,,
59,,,,,,,87,,,,,,
58,,,,,,,86,,,,,,
57,,,,,,,85,,,,,,
56,,,,,,,83,,,,,,
55,,88,,,,,82,,,,,,
54,,87,,,,,81,,,,,,
53,,86,,,,,80,,,,,,
52,,84,,,,,79,,,,,,
51,,83,,,,,77,,,,,,
50,,82,,,,,76,,,,,,
49,,80,,,,,75,,,,,,
48,,79,,,,,74,,,,,,
47,,78,,,,,73,,,,,,
46,,76,,,,,71,,,,,,
45,91,75,,90,,,70,,,,,85,
44,89,74,,89,,,69,,,,,84,
43,87,72,,87,,,68,,,,,82,
42,86,71,,85,,,67,,,,,81,
41,84,70,,84,,,65,,,,,80,
40,82,69,,82,,,64,,,,,78,
39,80,67,,81,,,63,,,,,77,
38,78,66,,79,,,62,,,,,76,
37,76,65,,78,,,61,,,,,74,
36,74,63,,76,,,59,,,,,73,
35,72,62,,74,,89,58,,87,,77,72,80
34,70,61,,73,,87,57,,86,,75,70,78
33,68,59,,71,,85,56,,84,,74,69,77
32,66,58,,70,,84,55,,82,,72,68,75
31,64,57,,68,,82,53,,81,,70,66,73
30,62,55,91,67,,80,52,84,79,,69,65,72
29,60,54,89,65,,78,51,82,77,,67,64,70
28,58,53,87,63,,77,50,80,76,,65,62,69
27,56,51,85,62,,75,49,78,74,,64,61,67
26,54,50,82,60,,73,47,76,72,,62,60,65
25,52,49,80,59,85,71,46,74,71,83,60,58,64
24,50,47,78,57,82,69,45,72,69,80,59,57,62
23,48,46,76,56,80,68,44,70,67,78,57,56,60
22,46,45,74,54,77,66,43,68,66,76,55,54,59
21,44,43,72,52,75,64,41,65,64,73,54,53,57
20,42,42,70,51,72,62,40,63,62,71,52,52,56
19,40,41,67,49,70,61,39,61,61,68,50,50,54
18,38,39,65,48,67,59,38,59,59,66,48,49,52
17,36,38,63,46,65,57,37,57,57,63,47,48,51
16,35,37,61,45,62,55,35,55,55,61,45,46,49
15,33,35,59,43,59,54,34,53,54,58,43,45,48
14,31,34,57,41,57,52,33,51,52,56,42,44,46
13,29,33,54,40,54,50,32,49,50,53,40,42,44
12,27,31,52,38,52,48,,47,49,51,38,41,43
11,25,30,50,37,49,47,,45,47,49,37,40,41
10,23,,48,35,47,45,,42,45,46,35,38,39
9,21,,46,34,44,43,,40,44,44,33,37,38
8,,,44,,42,41,,38,42,41,32,,36
7,,,42,,39,39,,36,40,39,30,,35
6,,,39,,37,,,34,,36,,,
5,,,,,34,,,,,34,,,
