value,distract_hyper,adaptability,reinforcesparent,demandingness,mood,acceptability,coompetence,isolation,attachment,health,rolerestriction,depression,spouse
65,,,,,,,97,,,,,,
64,,,,,,,96,,,,,,
63,,,,,,,94,,,,,,
62,,,,,,,93,,,,,,
61,,,,,,,92,,,,,,
60,,,,,,,90,,,,,,
59,,,,,,,89,,,,,,
58,,,,,,,88,,,,,,
57,,,,,,,86,,,,,,
56,,,,,,,85,,,,,,
55,,92,,,,,83,,,,,,
54,,91,,,,,82,,,,,,
53,,89,,,,,81,,,,,,
52,,88,,,,,79,,,,,,
51,,86,,,,,78,,,,,,
50,,85,,,,,77,,,,,,
49,,83,,,,,75,,,,,,
48,,82,,,,,74,,,,,,
47,,80,,,,,73,,,,,,
46,,79,,,,,71,,,,,,
45,83,77,,88,,,70,,,,,89,
44,81,76,,87,,,68,,,,,87,
43,80,74,,85,,,67,,,,,86,
42,78,73,,83,,,66,,,,,84,
41,77,71,,82,,,64,,,,,82,
40,75,70,,80,,,63,,,,,81,
39,73,68,,79,,,62,,,,,79,
38,72,67,,77,,,60,,,,,78,
37,70,65,,75,,,59,,,,,76,
36,69,64,,74,,,58,,,,,75,
35,67,62,,72,,87,56,,91,,81,73,76
34,65,61,,71,,85,55,,89,,79,71,74
33,64,59,,69,,84,53,,87,,77,70,73
32,62,58,,67,,82,52,,85,,75,68,71
31,60,56,,66,,80,51,,83,,74,67,70
30,59,55,91,64,,79,49,81,81,,72,65,68
29,57,53,89,63,,77,48,79,79,,70,63,66
28,56,52,87,61,,75,47,77,77,,68,62,65
27,54,50,85,59,,73,45,75,75,,66,60,63
26,52,49,83,58,,72,44,73,74,,64,59,62
25,51,47,80,56,84,70,42,71,72,86,62,57,60
24,49,46,78,55,81,68,41,69,70,83,61,56,58
23,48,44,76,53,79,66,40,67,68,80,59,54,57
22,46,43,74,51,76,65,38,65,66,78,57,52,55
21,44,41,71,50,74,63,37,63,64,75,55,51,54
20,43,40,69,48,71,61,36,61,62,72,53,49,52
19,41,38,67,47,68,60,34,59,60,70,51,48,50
18,40,37,65,45,66,58,33,59,58,67,50,46,49
17,38,35,62,43,63,56,32,55,56,64,48,44,47
16,36,34,60,42,61,54,30,53,54,62,46,43,46
15,35,32,58,40,58,53,29,51,52,59,44,41,44
14,33,31,56,39,55,51,27,49,51,56,42,40,42
13,32,29,54,37,53,49,26,47,49,54,40,38,41
12,30,28,51,35,50,47,,45,47,51,39,37,39
11,28,26,49,34,48,46,,43,45,48,37,35,38
10,27,,47,32,45,44,,41,43,46,35,33,36
9,25,,45,31,42,42,,39,41,43,33,32,35
8,,,42,,40,41,,37,39,40,31,,33
7,,,40,,37,39,,35,37,38,29,,31
6,,,38,,35,,,33,,35,,,
5,,,,,32,,,,,33,,,
