value,distract_hyper,adaptability,reinforcesparent,demandingness,mood,acceptability,coompetence,isolation,attachment,health,rolerestriction,depression,spouse
65,,,,,,,104,,,,,,
64,,,,,,,102,,,,,,
63,,,,,,,101,,,,,,
62,,,,,,,100,,,,,,
61,,,,,,,98,,,,,,
60,,,,,,,97,,,,,,
59,,,,,,,95,,,,,,
58,,,,,,,94,,,,,,
57,,,,,,,92,,,,,,
56,,,,,,,91,,,,,,
55,,103,,,,,89,,,,,,
54,,101,,,,,88,,,,,,
53,,100,,,,,87,,,,,,
52,,98,,,,,85,,,,,,
51,,97,,,,,84,,,,,,
50,,95,,,,,82,,,,,,
49,,93,,,,,81,,,,,,
48,,92,,,,,79,,,,,,
47,,90,,,,,78,,,,,,
46,,89,,,,,77,,,,,,
45,93,87,,96,,,75,,,,,98,
44,91,86,,94,,,74,,,,,96,
43,89,84,,93,,,72,,,,,94,
42,88,82,,91,,,71,,,,,93,
41,86,81,,89,,,69,,,,,91,
40,84,79,,87,,,68,,,,,89,
39,83,78,,86,,,67,,,,,88,
38,81,76,,84,,,65,,,,,86,
37,79,75,,82,,,64,,,,,84,
36,78,73,,80,,,62,,,,,82,
35,76,72,,79,,107,61,,110,,83,81,77
34,74,70,,77,,105,59,,107,,81,79,75
33,72,68,,75,,102,58,,105,,79,77,74
32,71,67,,73,,100,56,,102,,77,75,72
31,69,65,,72,,97,55,,100,,75,74,71
30,67,64,92,70,,95,54,89,97,,73,72,69
29,66,62,90,68,,92,52,87,95,,72,70,68
28,64,61,88,67,,90,51,85,92,,70,68,66
27,62,59,85,65,,87,49,83,90,,68,67,65
26,61,57,83,63,,85,48,80,87,,66,65,63
25,59,56,81,61,92,82,46,78,85,91,64,63,62
24,57,54,79,60,89,80,45,76,82,88,62,61,60
23,55,53,76,58,86,77,44,74,80,85,61,60,59
22,54,51,74,56,83,75,42,71,77,83,59,58,57
21,52,50,72,54,80,73,41,69,75,80,57,56,56
20,50,48,69,53,77,70,39,67,72,77,55,54,54
19,49,47,67,51,74,68,38,65,70,74,53,53,53
18,47,45,65,49,71,65,36,63,67,72,51,51,51
17,45,43,63,47,69,63,35,60,65,69,50,49,50
16,44,42,60,46,66,60,34,58,62,66,48,47,48
15,42,40,58,44,63,58,32,56,60,63,46,46,47
14,40,39,56,42,60,55,31,54,57,61,44,44,45
13,38,37,53,40,57,53,29,52,55,58,42,42,44
12,37,36,51,39,54,50,,49,52,55,40,41,42
11,35,34,49,37,51,48,,47,50,52,39,39,41
10,33,,47,35,48,45,,45,47,50,37,37,39
9,32,,44,33,46,43,,43,45,47,35,35,38
8,,,42,,43,40,,40,42,44,33,,36
7,,,40,,40,38,,38,40,42,31,,35
6,,,37,,37,,,36,,39,,,
5,,,,,34,,,,,36,,,
