value,childdomain,parentdomain,totalstress,lifestress
505,,,>=99,
504,,,>=99,
503,,,>=99,
502,,,>=99,
501,,,>=99,
500,,,>=99,
499,,,>=99,
498,,,>=99,
497,,,>=99,
496,,,>=99,
495,,,>=99,
494,,,>=99,
493,,,>=99,
492,,,>=99,
491,,,>=99,
490,,,>=99,
489,,,>=99,
488,,,>=99,
487,,,>=99,
486,,,>=99,
485,,,>=99,
484,,,>=99,
483,,,>=99,
482,,,>=99,
481,,,>=99,
480,,,>=99,
479,,,>=99,
478,,,>=99,
477,,,>=99,
476,,,>=99,
475,,,>=99,
474,,,>=99,
473,,,>=99,
472,,,>=99,
471,,,>=99,
470,,,>=99,
469,,,>=99,
468,,,>=99,
467,,,>=99,
466,,,>=99,
465,,,>=99,
464,,,>=99,
463,,,>=99,
462,,,>=99,
461,,,>=99,
460,,,>=99,
459,,,>=99,
458,,,>=99,
457,,,>=99,
456,,,>=99,
455,,,>=99,
454,,,>=99,
453,,,>=99,
452,,,>=99,
451,,,>=99,
450,,,>=99,
449,,,>=99,
448,,,>=99,
447,,,>=99,
446,,,>=99,
445,,,>=99,
444,,,>=99,
443,,,>=99,
442,,,>=99,
441,,,>=99,
440,,,>=99,
439,,,>=99,
438,,,>=99,
437,,,>=99,
436,,,>=99,
435,,,>=99,
434,,,>=99,
433,,,>=99,
432,,,>=99,
431,,,>=99,
430,,,>=99,
429,,,>=99,
428,,,>=99,
427,,,>=99,
426,,,>=99,
425,,,>=99,
424,,,>=99,
423,,,>=99,
422,,,>=99,
421,,,>=99,
420,,,>=99,
419,,,>=99,
418,,,>=99,
417,,,>=99,
416,,,>=99,
415,,,>=99,
414,,,>=99,
413,,,>=99,
412,,,>=99,
411,,,>=99,
410,,,>=99,
409,,,>=99,
408,,,>=99,
407,,,>=99,
406,,,>=99,
405,,,>=99,
404,,,>=99,
403,,,>=99,
402,,,>=99,
401,,,>=99,
400,,,>=99,
399,,,>=99,
398,,,>=99,
397,,,>=99,
396,,,>=99,
395,,,>=99,
394,,,>=99,
393,,,>=99,
392,,,>=99,
391,,,>=99,
390,,,>=99,
389,,,>=99,
388,,,>=99,
387,,,>=99,
386,,,>=99,
385,,,>=99,
384,,,>=99,
383,,,>=99,
382,,,>=99,
381,,,>=99,
380,,,>=99,
379,,,>=99,
378,,,>=99,
377,,,>=99,
376,,,>=99,
375,,,>=99,
374,,,>=99,
373,,,>=99,
372,,,>=99,
371,,,>=99,
370,,,>=99,
369,,,>=99,
368,,,>=99,
367,,,>=99,
366,,,>=99,
365,,,>=99,
364,,,>=99,
363,,,>=99,
362,,,>=99,
361,,,>=99,
360,,,>=99,
359,,,>=99,
358,,,>=99,
357,,,>=99,
356,,,>=99,
355,,,>=99,
354,,,>=99,
353,,,>=99,
352,,,>=99,
351,,,>=99,
350,,,>=99,
349,,,>=99,
348,,,>=99,
347,,,>=99,
346,,,>=99,
345,,,>=99,
344,,,>=99,
343,,,>=99,
342,,,>=99,
341,,,>=99,
340,,,>=99,
339,,,98,
338,,,98,
337,,,98,
336,,,98,
335,,,98,
334,,,98,
333,,,98,
332,,,98,
331,,,98,
330,,,98,
329,,,98,
328,,,98,
327,,,98,
326,,,98,
325,,,98,
324,,,98,
323,,,98,
322,,,98,
321,,,98,
320,,,98,
319,,,98,
318,,,98,
317,,,98,
316,,,95,
315,,,94,
314,,,93,
313,,,92,
312,,,92,
311,,,92,
310,,,90,
309,,,87,
308,,,87,
307,,,87,
306,,,87,
305,,,87,
304,,,86,
303,,,84,
302,,,84,
301,,,84,
300,,,84,
299,,,84,
298,,,83,
297,,,82,
296,,,82,
295,,,82,
294,,,82,
293,,,82,
292,,,82,
291,,,82,
290,,,82,
289,,,82,
288,,,82,
287,,,82,
286,,,82,
285,,,82,
284,,,82,
283,,,82,
282,,,82,
281,,,82,
280,,,82,
279,,,82,
278,,,82,
277,,,81,
276,,,81,
275,,,81,
274,,,81,
273,,,81,
272,,,81,
271,,,81,
270,,>=99,81,
269,,>=99,81,
268,,>=99,81,
267,,>=99,81,
266,,>=99,81,
265,,>=99,81,
264,,>=99,81,
263,,>=99,81,
262,,>=99,81,
261,,>=99,81,
260,,>=99,81,
259,,>=99,81,
258,,>=99,81,
257,,>=99,81,
256,,>=99,81,
255,,>=99,80,
254,,>=99,80,
253,,>=99,80,
252,,>=99,78,
251,,>=99,78,
250,,>=99,78,
249,,>=99,78,
248,,>=99,78,
247,,>=99,77,
246,,>=99,77,
245,,>=99,76,
244,,>=99,76,
243,,>=99,76,
242,,>=99,76,
241,,>=99,75,
240,,>=99,75,
239,,>=99,75,
238,,>=99,75,
237,,>=99,75,
236,,>=99,75,
235,>=99,>=99,75,
234,>=99,>=99,73,
233,>=99,>=99,73,
232,>=99,>=99,73,
231,>=99,>=99,73,
230,>=99,>=99,73,
229,>=99,>=99,73,
228,>=99,>=99,73,
227,>=99,>=99,73,
226,>=99,>=99,73,
225,>=99,>=99,72,
224,>=99,>=99,72,
223,>=99,>=99,72,
222,>=99,>=99,70,
221,>=99,>=99,70,
220,>=99,>=99,70,
219,>=99,>=99,70,
218,>=99,>=99,70,
217,>=99,>=99,69,
216,>=99,>=99,66,
215,>=99,>=99,66,
214,>=99,>=99,66,
213,>=99,>=99,65,
212,>=99,>=99,64,
211,>=99,>=99,63,
210,>=99,>=99,63,
209,>=99,>=99,60,
208,>=99,>=99,59,
207,>=99,>=99,59,
206,>=99,>=99,58,
205,>=99,>=99,58,
204,>=99,>=99,58,
203,>=99,>=99,57,
202,>=99,>=99,55,
201,>=99,>=99,55,
200,>=99,>=99,55,
199,>=99,>=99,53,
198,>=99,>=99,53,
197,>=99,>=99,53,
196,>=99,>=99,52,
195,>=99,>=99,52,
194,>=99,>=99,51,
193,>=99,>=99,48,
192,>=99,>=99,47,
191,>=99,>=99,47,
190,>=99,>=99,47,
189,>=99,>=99,47,
188,>=99,>=99,46,
187,>=99,>=99,45,
186,>=99,>=99,43,
185,>=99,>=99,42,
184,>=99,>=99,42,
183,>=99,>=99,41,
182,>=99,>=99,40,
181,>=99,>=99,40,
180,>=99,>=99,40,
179,>=99,>=99,39,
178,>=99,>=99,37,
177,>=99,98,36,
176,>=99,96,33,
175,>=99,96,33,
174,>=99,96,29,
173,>=99,96,29,
172,98,96,28,
171,98,95,23,
170,98,95,22,
169,98,93,22,
168,98,93,20,
167,98,90,20,
166,98,88,20,
165,98,87,20,
164,98,87,20,
163,98,86,20,
162,98,86,20,
161,98,86,19,
160,98,83,18,
159,98,83,17,
158,98,82,17,
157,96,82,17,
156,96,82,17,
155,96,82,17,
154,96,82,14,
153,96,82,14,
152,95,82,14,
151,95,81,14,
150,95,81,14,
149,95,81,14,
148,94,81,14,
147,93,81,13,
146,92,81,13,
145,89,81,13,
144,89,81,12,
143,89,81,12,
142,88,81,11,
141,88,81,10,
140,88,80,10,
139,87,80,10,
138,86,80,7,
137,86,78,6,
136,83,78,6,
135,83,78,6,
134,83,78,6,
133,82,78,6,
132,82,78,6,
131,82,78,6,
130,81,78,4,
129,81,77,4,
128,81,77,2,
127,81,77,2,
126,81,76,2,
125,81,75,<=1,
124,81,73,<=1,
123,81,73,<=1,
122,81,72,<=1,
121,80,71,<=1,
120,80,70,<=1,
119,80,69,<=1,
118,80,66,<=1,
117,80,66,<=1,
116,80,66,<=1,
115,80,64,<=1,
114,78,61,<=1,
113,78,58,<=1,
112,77,57,<=1,
111,75,54,<=1,
110,75,54,<=1,
109,73,51,<=1,
108,73,47,<=1,
107,71,47,<=1,
106,71,45,<=1,
105,71,42,<=1,
104,71,40,<=1,
103,70,37,<=1,
102,67,35,<=1,
101,67,35,<=1,
100,66,35,,
99,64,35,,
98,63,35,,
97,60,35,,
96,59,35,,
95,59,34,,
94,58,33,,
93,58,25,,
92,54,22,,
91,53,22,,
90,52,22,,
89,52,22,,
88,49,20,,
87,48,19,,
86,47,19,,
85,46,19,,
84,45,19,,
83,40,19,,
82,37,18,,
81,36,14,,
80,36,12,,
79,36,12,,>=99
78,34,10,,>=99
77,29,10,,>=99
76,29,10,,>=99
75,29,7,,>=99
74,27,7,,>=99
73,27,7,,>=99
72,27,6,,>=99
71,27,6,,>=99
70,27,5,,>=99
69,25,5,,>=99
68,25,5,,>=99
67,25,4,,>=99
66,20,2,,>=99
65,17,<=1,,>=99
64,16,<=1,,>=99
63,13,<=1,,>=99
62,8,<=1,,>=99
61,7,<=1,,>=99
60,5,<=1,,>=99
59,2,<=1,,>=99
58,2,<=1,,>=99
57,<=1,<=1,,>=99
56,<=1,<=1,,>=99
55,<=1,<=1,,>=99
54,<=1,<=1,,>=99
53,<=1,,,>=99
52,<=1,,,>=99
51,<=1,,,>=99
50,<=1,,,>=99
49,<=1,,,>=99
48,<=1,,,>=99
47,<=1,,,>=99
46,,,,>=99
45,,,,>=99
44,,,,>=99
43,,,,>=99
42,,,,>=99
41,,,,>=99
40,,,,>=99
39,,,,>=99
38,,,,>=99
37,,,,>=99
36,,,,>=99
35,,,,98
34,,,,98
33,,,,98
32,,,,96
31,,,,96
30,,,,96
29,,,,94
28,,,,94
27,,,,93
26,,,,92
25,,,,92
24,,,,89
23,,,,87
22,,,,82
21,,,,81
20,,,,81
19,,,,80
18,,,,76
17,,,,76
16,,,,67
15,,,,67
14,,,,64
13,,,,63
12,,,,61
11,,,,61
10,,,,59
9,,,,57
8,,,,52
7,,,,46
6,,,,45
5,,,,41
4,,,,41
3,,,,34
2,,,,29
1,,,,28
0,,,,28
