value,distract_hyper,adaptability,reinforcesparent,demandingness,mood,acceptability,coompetence,isolation,attachment,health,rolerestriction,depression,spouse
65,,,,,,,91,,,,,,
64,,,,,,,90,,,,,,
63,,,,,,,88,,,,,,
62,,,,,,,87,,,,,,
61,,,,,,,86,,,,,,
60,,,,,,,85,,,,,,
59,,,,,,,84,,,,,,
58,,,,,,,82,,,,,,
57,,,,,,,81,,,,,,
56,,,,,,,80,,,,,,
55,,88,,,,,79,,,,,,
54,,87,,,,,78,,,,,,
53,,85,,,,,77,,,,,,
52,,84,,,,,75,,,,,,
51,,83,,,,,74,,,,,,
50,,81,,,,,73,,,,,,
49,,80,,,,,72,,,,,,
48,,79,,,,,71,,,,,,
47,,77,,,,,69,,,,,,
46,,76,,,,,68,,,,,,
45,86,75,,88,,,67,,,,,81,
44,85,73,,86,,,66,,,,,80,
43,83,72,,84,,,65,,,,,79,
42,81,71,,83,,,64,,,,,77,
41,80,69,,81,,,62,,,,,76,
40,78,68,,80,,,61,,,,,75,
39,76,67,,78,,,60,,,,,73,
38,75,65,,77,,,59,,,,,72,
37,73,64,,75,,,58,,,,,71,
36,71,63,,74,,,56,,,,,70,
35,69,61,,72,,86,55,,86,,83,68,76
34,68,60,,70,,85,54,,84,,81,67,74
33,66,59,,69,,83,53,,82,,79,66,73
32,64,57,,67,,81,52,,81,,77,64,71
31,63,56,,66,,79,50,,79,,75,63,70
30,61,55,96,64,,78,49,85,77,,73,62,68
29,59,53,93,63,,76,48,82,76,,71,61,67
28,58,52,91,61,,74,47,80,74,,69,59,65
27,56,51,88,60,,72,46,78,72,,67,58,64
26,54,49,86,58,,71,45,76,70,,65,57,62
25,53,48,83,56,82,69,43,74,69,84,63,55,61
24,51,47,81,55,79,67,42,72,67,81,61,54,59
23,49,45,78,53,77,65,41,70,65,79,59,53,58
22,48,44,76,52,74,64,40,67,64,76,57,52,56
21,46,43,73,50,72,62,39,65,62,74,55,50,55
20,44,41,71,49,70,60,37,63,60,71,53,49,53
19,43,40,68,47,67,58,36,61,59,69,51,48,52
18,41,39,66,45,65,57,35,59,57,66,49,46,50
17,39,37,63,44,62,55,34,57,55,64,47,45,49
16,38,36,61,42,60,53,33,54,54,61,45,44,47
15,36,35,59,41,57,51,32,52,52,59,43,43,46
14,34,33,56,39,55,50,30,50,50,56,41,41,44
13,33,32,54,38,53,48,29,48,49,54,39,40,43
12,31,31,51,36,50,46,,46,47,51,37,39,41
11,29,29,49,35,48,44,,44,45,49,35,37,40
10,28,,46,33,45,43,,42,43,46,33,36,38
9,26,,44,31,43,41,,39,42,44,31,35,37
8,,,41,,40,39,,37,40,41,29,,35
7,,,39,,38,37,,35,38,39,27,,34
6,,,36,,36,,,33,,36,,,
5,,,,,33,,,,,34,,,
