value,distract_hyper,adaptability,reinforcesparent,demandingness,mood,acceptability,coompetence,isolation,attachment,health,rolerestriction,depression,spouse
65,,,,,,,94,,,,,,
64,,,,,,,93,,,,,,
63,,,,,,,92,,,,,,
62,,,,,,,91,,,,,,
61,,,,,,,89,,,,,,
60,,,,,,,88,,,,,,
59,,,,,,,87,,,,,,
58,,,,,,,85,,,,,,
57,,,,,,,84,,,,,,
56,,,,,,,83,,,,,,
55,,97,,,,,81,,,,,,
54,,95,,,,,80,,,,,,
53,,94,,,,,79,,,,,,
52,,92,,,,,78,,,,,,
51,,91,,,,,76,,,,,,
50,,89,,,,,75,,,,,,
49,,88,,,,,74,,,,,,
48,,86,,,,,72,,,,,,
47,,85,,,,,71,,,,,,
46,,83,,,,,70,,,,,,
45,83,82,,88,,,68,,,,,93,
44,82,80,,86,,,67,,,,,91,
43,81,79,,85,,,66,,,,,90,
42,79,77,,83,,,65,,,,,88,
41,78,76,,82,,,63,,,,,86,
40,76,74,,80,,,62,,,,,84,
39,75,73,,79,,,61,,,,,83,
38,73,71,,77,,,59,,,,,81,
37,72,69,,76,,,58,,,,,79,
36,70,68,,74,,,57,,,,,78,
35,69,66,,72,,91,55,,91,,83,76,76
34,67,65,,71,,89,54,,89,,81,74,74
33,66,63,,69,,87,53,,87,,79,72,72
32,64,62,,68,,85,52,,85,,77,71,71
31,63,60,,66,,83,50,,83,,75,69,69
30,61,59,87,65,,81,49,93,81,,73,67,67
29,60,57,85,63,,79,48,90,79,,71,66,66
28,59,56,83,62,,77,46,87,77,,69,64,64
27,57,54,80,60,,76,45,85,75,,67,62,62
26,56,53,78,58,,74,44,82,74,,65,61,61
25,54,51,76,57,86,72,42,79,72,87,63,59,59
24,53,50,74,55,83,70,41,77,70,84,61,57,57
23,51,48,72,54,81,68,40,74,68,82,59,55,56
22,50,47,70,52,78,66,39,71,66,79,57,54,54
21,48,45,68,51,75,64,37,69,64,76,55,52,52
20,47,43,65,49,73,62,36,66,62,73,53,50,51
19,45,42,63,48,70,60,35,63,60,71,51,49,49
18,44,40,61,46,67,58,33,61,58,68,49,47,47
17,42,39,59,44,64,56,32,58,56,65,48,45,46
16,41,37,57,43,62,54,31,55,54,63,46,43,44
15,39,36,55,41,59,52,29,52,52,60,44,42,42
14,38,34,53,40,56,50,28,50,51,57,42,40,41
13,37,33,50,38,53,48,27,47,49,55,40,38,39
12,35,31,48,37,51,46,,44,47,52,38,37,37
11,34,30,46,35,48,44,,42,45,49,36,35,36
10,32,,44,34,45,43,,39,43,47,34,33,34
9,31,,42,32,43,41,,36,41,44,32,32,32
8,,,40,,40,39,,34,39,41,30,,31
7,,,38,,37,37,,31,37,39,28,,29
6,,,35,,34,,,28,,36,,,
5,,,,,32,,,,,33,,,
