value,childdomain,parentdomain,totalstress,lifestress
505,,,>=99,
504,,,>=99,
503,,,>=99,
502,,,>=99,
501,,,>=99,
500,,,>=99,
499,,,>=99,
498,,,>=99,
497,,,>=99,
496,,,>=99,
495,,,>=99,
494,,,>=99,
493,,,>=99,
492,,,>=99,
491,,,>=99,
490,,,>=99,
489,,,>=99,
488,,,>=99,
487,,,>=99,
486,,,>=99,
485,,,>=99,
484,,,>=99,
483,,,>=99,
482,,,>=99,
481,,,>=99,
480,,,>=99,
479,,,>=99,
478,,,>=99,
477,,,>=99,
476,,,>=99,
475,,,>=99,
474,,,>=99,
473,,,>=99,
472,,,>=99,
471,,,>=99,
470,,,>=99,
469,,,>=99,
468,,,>=99,
467,,,>=99,
466,,,>=99,
465,,,>=99,
464,,,>=99,
463,,,>=99,
462,,,>=99,
461,,,>=99,
460,,,>=99,
459,,,>=99,
458,,,>=99,
457,,,>=99,
456,,,>=99,
455,,,>=99,
454,,,>=99,
453,,,>=99,
452,,,>=99,
451,,,>=99,
450,,,>=99,
449,,,>=99,
448,,,>=99,
447,,,>=99,
446,,,>=99,
445,,,>=99,
444,,,>=99,
443,,,>=99,
442,,,>=99,
441,,,>=99,
440,,,>=99,
439,,,>=99,
438,,,>=99,
437,,,>=99,
436,,,>=99,
435,,,>=99,
434,,,>=99,
433,,,>=99,
432,,,>=99,
431,,,>=99,
430,,,>=99,
429,,,>=99,
428,,,>=99,
427,,,>=99,
426,,,>=99,
425,,,>=99,
424,,,>=99,
423,,,>=99,
422,,,>=99,
421,,,>=99,
420,,,>=99,
419,,,>=99,
418,,,>=99,
417,,,>=99,
416,,,>=99,
415,,,>=99,
414,,,>=99,
413,,,>=99,
412,,,>=99,
411,,,>=99,
410,,,>=99,
409,,,>=99,
408,,,>=99,
407,,,>=99,
406,,,>=99,
405,,,>=99,
404,,,>=99,
403,,,>=99,
402,,,>=99,
401,,,>=99,
400,,,>=99,
399,,,>=99,
398,,,>=99,
397,,,>=99,
396,,,>=99,
395,,,>=99,
394,,,>=99,
393,,,>=99,
392,,,>=99,
391,,,>=99,
390,,,>=99,
389,,,>=99,
388,,,>=99,
387,,,>=99,
386,,,>=99,
385,,,>=99,
384,,,>=99,
383,,,>=99,
382,,,>=99,
381,,,>=99,
380,,,>=99,
379,,,>=99,
378,,,>=99,
377,,,>=99,
376,,,>=99,
375,,,>=99,
374,,,>=99,
373,,,>=99,
372,,,>=99,
371,,,>=99,
370,,,>=99,
369,,,>=99,
368,,,>=99,
367,,,>=99,
366,,,>=99,
365,,,>=99,
364,,,>=99,
363,,,>=99,
362,,,>=99,
361,,,>=99,
360,,,>=99,
359,,,>=99,
358,,,>=99,
357,,,>=99,
356,,,>=99,
355,,,>=99,
354,,,>=99,
353,,,>=99,
352,,,>=99,
351,,,>=99,
350,,,>=99,
349,,,>=99,
348,,,>=99,
347,,,>=99,
346,,,>=99,
345,,,>=99,
344,,,>=99,
343,,,>=99,
342,,,>=99,
341,,,>=99,
340,,,>=99,
339,,,>=99,
338,,,>=99,
337,,,>=99,
336,,,>=99,
335,,,>=99,
334,,,>=99,
333,,,>=99,
332,,,>=99,
331,,,>=99,
330,,,>=99,
329,,,>=99,
328,,,>=99,
327,,,>=99,
326,,,>=99,
325,,,>=99,
324,,,>=99,
323,,,98,
322,,,98,
321,,,98,
320,,,98,
319,,,96,
318,,,94,
317,,,93,
316,,,91,
315,,,90,
314,,,90,
313,,,89,
312,,,89,
311,,,89,
310,,,88,
309,,,88,
308,,,88,
307,,,86,
306,,,85,
305,,,84,
304,,,83,
303,,,80,
302,,,80,
301,,,80,
300,,,79,
299,,,79,
298,,,78,
297,,,78,
296,,,78,
295,,,78,
294,,,78,
293,,,75,
292,,,75,
291,,,73,
290,,,73,
289,,,73,
288,,,73,
287,,,73,
286,,,73,
285,,,73,
284,,,73,
283,,,73,
282,,,70,
281,,,70,
280,,,70,
279,,,70,
278,,,70,
277,,,70,
276,,,70,
275,,,70,
274,,,70,
273,,,69,
272,,,69,
271,,,68,
270,,>=99,68,
269,,>=99,68,
268,,>=99,68,
267,,>=99,68,
266,,>=99,68,
265,,>=99,68,
264,,>=99,68,
263,,>=99,68,
262,,>=99,68,
261,,>=99,68,
260,,>=99,68,
259,,>=99,68,
258,,>=99,68,
257,,>=99,68,
256,,>=99,68,
255,,>=99,68,
254,,>=99,65,
253,,>=99,65,
252,,>=99,64,
251,,>=99,64,
250,,>=99,64,
249,,>=99,64,
248,,>=99,64,
247,,>=99,64,
246,,>=99,64,
245,,>=99,64,
244,,>=99,64,
243,,>=99,64,
242,,>=99,63,
241,,>=99,63,
240,,>=99,63,
239,,>=99,61,
238,,>=99,60,
237,,>=99,56,
236,,>=99,56,
235,>=99,>=99,56,
234,>=99,>=99,56,
233,>=99,>=99,56,
232,>=99,>=99,55,
231,>=99,>=99,55,
230,>=99,>=99,55,
229,>=99,>=99,54,
228,>=99,>=99,53,
227,>=99,>=99,51,
226,>=99,>=99,51,
225,>=99,>=99,51,
224,>=99,>=99,51,
223,>=99,>=99,51,
222,>=99,>=99,50,
221,>=99,>=99,50,
220,>=99,>=99,49,
219,>=99,>=99,49,
218,>=99,>=99,48,
217,>=99,>=99,48,
216,>=99,>=99,46,
215,>=99,>=99,46,
214,>=99,>=99,46,
213,>=99,>=99,45,
212,>=99,>=99,44,
211,>=99,>=99,44,
210,>=99,>=99,44,
209,>=99,>=99,43,
208,>=99,>=99,43,
207,>=99,>=99,43,
206,>=99,>=99,43,
205,>=99,>=99,43,
204,>=99,>=99,41,
203,>=99,>=99,41,
202,>=99,>=99,41,
201,>=99,>=99,41,
200,>=99,>=99,41,
199,>=99,>=99,41,
198,>=99,>=99,40,
197,>=99,>=99,39,
196,>=99,>=99,39,
195,>=99,>=99,39,
194,>=99,>=99,39,
193,>=99,>=99,39,
192,>=99,>=99,38,
191,>=99,>=99,36,
190,>=99,>=99,35,
189,>=99,>=99,35,
188,>=99,>=99,35,
187,>=99,>=99,34,
186,>=99,>=99,33,
185,>=99,98,33,
184,>=99,98,33,
183,>=99,98,33,
182,>=99,98,29,
181,>=99,98,29,
180,>=99,98,29,
179,>=99,98,28,
178,>=99,98,26,
177,>=99,98,25,
176,>=99,98,25,
175,>=99,98,23,
174,>=99,96,21,
173,>=99,96,20,
172,>=99,94,20,
171,>=99,94,20,
170,>=99,93,18,
169,>=99,93,18,
168,>=99,90,18,
167,>=99,90,18,
166,>=99,89,18,
165,>=99,89,18,
164,>=99,86,16,
163,>=99,83,16,
162,>=99,80,15,
161,98,78,15,
160,98,76,14,
159,96,76,14,
158,96,76,13,
157,96,76,13,
156,96,76,13,
155,96,76,13,
154,96,74,13,
153,95,74,13,
152,94,74,13,
151,91,74,11,
150,89,73,11,
149,89,73,11,
148,89,73,10,
147,89,73,9,
146,86,73,9,
145,86,73,9,
144,84,71,9,
143,83,69,9,
142,83,69,8,
141,79,69,6,
140,79,68,6,
139,79,68,6,
138,78,66,6,
137,78,66,6,
136,76,66,5,
135,75,65,4,
134,74,64,4,
133,74,61,4,
132,73,61,4,
131,73,61,4,
130,70,61,4,
129,69,60,4,
128,69,60,4,
127,69,60,4,
126,69,59,4,
125,69,59,4,
124,68,59,4,
123,68,56,4,
122,68,56,4,
121,68,55,<=1,
120,66,53,<=1,
119,66,51,<=1,
118,64,51,<=1,
117,64,50,<=1,
116,64,50,<=1,
115,61,50,<=1,
114,61,49,<=1,
113,59,46,<=1,
112,59,46,<=1,
111,59,45,<=1,
110,58,45,<=1,
109,58,45,<=1,
108,56,43,<=1,
107,54,40,<=1,
106,53,40,<=1,
105,53,40,<=1,
104,51,39,<=1,
103,50,39,<=1,
102,48,38,<=1,
101,46,38,<=1,
100,46,35,,
99,46,34,,
98,45,31,,
97,45,30,,
96,43,29,,
95,40,28,,
94,40,26,,
93,38,24,,
92,38,24,,
91,35,23,,
90,33,23,,
89,30,21,,
88,30,20,,
87,29,20,,
86,28,20,,
85,25,16,,
84,24,16,,
83,24,16,,
82,23,16,,
81,20,15,,
80,20,15,,
79,20,15,,>=99
78,20,15,,>=99
77,19,14,,>=99
76,18,13,,>=99
75,15,11,,>=99
74,13,10,,>=99
73,13,10,,>=99
72,11,10,,>=99
71,10,10,,>=99
70,10,9,,>=99
69,9,9,,>=99
68,9,6,,>=99
67,8,6,,>=99
66,6,6,,>=99
65,6,6,,>=99
64,6,5,,>=99
63,6,5,,>=99
62,6,<=1,,>=99
61,6,<=1,,>=99
60,6,<=1,,>=99
59,4,<=1,,>=99
58,<=1,<=1,,>=99
57,<=1,<=1,,>=99
56,<=1,<=1,,>=99
55,<=1,<=1,,>=99
54,<=1,<=1,,>=99
53,<=1,,,>=99
52,<=1,,,>=99
51,<=1,,,>=99
50,<=1,,,>=99
49,<=1,,,>=99
48,<=1,,,>=99
47,<=1,,,>=99
46,,,,>=99
45,,,,>=99
44,,,,>=99
43,,,,>=99
42,,,,>=99
41,,,,>=99
40,,,,>=99
39,,,,>=99
38,,,,>=99
37,,,,>=99
36,,,,>=99
35,,,,>=99
34,,,,>=99
33,,,,>=99
32,,,,>=99
31,,,,>=99
30,,,,98
29,,,,96
28,,,,94
27,,,,93
26,,,,89
25,,,,86
24,,,,86
23,,,,84
22,,,,81
21,,,,81
20,,,,81
19,,,,81
18,,,,81
17,,,,81
16,,,,78
15,,,,75
14,,,,74
13,,,,73
12,,,,66
11,,,,66
10,,,,63
9,,,,53
8,,,,51
7,,,,49
6,,,,46
5,,,,41
4,,,,41
3,,,,33
2,,,,25
1,,,,19
0,,,,19
