value,distract_hyper,adaptability,reinforcesparent,demandingness,mood,acceptability,coompetence,isolation,attachment,health,rolerestriction,depression,spouse
65,,,,,,,87,,,,,,
64,,,,,,,86,,,,,,
63,,,,,,,83,,,,,,
62,,,,,,,84,,,,,,
61,,,,,,,83,,,,,,
60,,,,,,,82,,,,,,
59,,,,,,,81,,,,,,
58,,,,,,,80,,,,,,
57,,,,,,,78,,,,,,
56,,,,,,,77,,,,,,
55,,91,,,,,76,,,,,,
54,,89,,,,,75,,,,,,
53,,88,,,,,74,,,,,,
52,,86,,,,,73,,,,,,
51,,85,,,,,72,,,,,,
50,,83,,,,,71,,,,,,
49,,82,,,,,70,,,,,,
48,,81,,,,,69,,,,,,
47,,79,,,,,67,,,,,,
46,,78,,,,,66,,,,,,
45,88,76,,89,,,65,,,,,83,
44,86,75,,88,,,64,,,,,82,
43,85,73,,86,,,63,,,,,80,
42,83,72,,85,,,62,,,,,79,
41,81,71,,83,,,61,,,,,78,
40,79,68,,81,,,60,,,,,76,
39,77,68,,80,,,59,,,,,75,
38,75,66,,78,,,58,,,,,74,
37,73,65,,77,,,56,,,,,72,
36,71,63,,75,,,55,,,,,71,
35,70,62,,74,,84,54,,86,,77,70,74
34,68,61,,72,,82,53,,84,,75,68,73
33,66,59,,70,,81,52,,82,,74,67,71
32,64,58,,69,,79,51,,81,,72,66,70
31,62,56,,67,,78,50,,79,,71,64,68
30,60,55,92,66,,76,49,82,77,,69,63,67
29,58,53,89,64,,74,48,80,75,,68,62,65
28,56,52,87,63,,73,47,78,74,,66,60,64
27,54,51,85,61,,71,45,76,72,,64,59,62
26,53,49,83,60,,69,44,74,70,,63,58,61
25,51,48,80,58,88,68,43,72,69,83,61,57,60
24,49,46,78,55,85,66,42,70,67,80,60,55,58
23,47,45,76,55,83,64,41,68,65,78,58,54,57
22,45,43,74,53,80,63,40,67,63,75,57,53,55
21,43,42,72,52,77,61,39,65,62,73,55,51,54
20,41,41,69,50,74,59,38,63,60,70,53,50,52
19,39,39,67,49,71,58,37,61,58,68,52,49,51
18,37,38,65,47,68,56,36,59,57,65,50,47,49
17,36,36,63,45,65,54,34,57,55,63,49,46,48
16,34,35,61,44,62,53,33,55,53,60,47,45,47
15,32,33,58,42,60,51,32,53,51,58,45,43,45
14,30,32,56,41,57,49,31,51,50,55,44,42,44
13,28,31,54,39,54,48,30,49,48,53,42,41,42
12,26,29,52,38,51,46,,47,46,50,41,39,41
11,24,28,49,36,48,45,,45,44,48,39,38,39
10,22,,47,35,45,43,,43,43,45,38,37,38
9,21,,45,33,42,41,,41,41,43,36,36,36
8,,,43,,40,40,,39,39,40,34,,35
7,,,41,,37,38,,37,38,38,33,,33
6,,,38,,34,,,35,,35,,,
5,,,,,31,,,,,33,,,
