value,distract_hyper,adaptability,reinforcesparent,demandingness,mood,acceptability,coompetence,isolation,attachment,health,rolerestriction,depression,spouse
65,,,,,,,100,,,,,,
64,,,,,,,99,,,,,,
63,,,,,,,98,,,,,,
62,,,,,,,96,,,,,,
61,,,,,,,95,,,,,,
60,,,,,,,93,,,,,,
59,,,,,,,92,,,,,,
58,,,,,,,91,,,,,,
57,,,,,,,89,,,,,,
56,,,,,,,88,,,,,,
55,,99,,,,,87,,,,,,
54,,98,,,,,85,,,,,,
53,,96,,,,,84,,,,,,
52,,95,,,,,83,,,,,,
51,,93,,,,,81,,,,,,
50,,92,,,,,80,,,,,,
49,,90,,,,,79,,,,,,
48,,89,,,,,77,,,,,,
47,,87,,,,,76,,,,,,
46,,86,,,,,74,,,,,,
45,93,84,,94,,,73,,,,,96,
44,91,83,,92,,,72,,,,,94,
43,90,81,,91,,,70,,,,,92,
42,88,80,,89,,,69,,,,,90,
41,86,78,,87,,,68,,,,,89,
40,84,76,,86,,,66,,,,,87,
39,83,75,,84,,,65,,,,,85,
38,81,73,,82,,,64,,,,,84,
37,79,72,,81,,,62,,,,,82,
36,77,70,,79,,,61,,,,,80,
35,76,69,,78,,97,60,,98,,86,79,77
34,74,67,,76,,95,58,,96,,84,77,76
33,72,66,,74,,93,57,,94,,82,75,74
32,70,64,,73,,91,55,,91,,80,74,73
31,69,63,,71,,89,54,,89,,78,72,71
30,67,61,95,69,,87,53,101,87,,76,70,70
29,65,60,93,68,,85,51,98,85,,74,69,68
28,63,58,91,66,,82,50,95,83,,72,67,67
27,62,57,88,64,,80,49,92,81,,70,65,65
26,60,55,86,63,,78,47,90,79,,68,64,64
25,58,54,84,61,87,76,46,87,76,95,67,62,62
24,57,52,81,59,84,74,45,84,74,92,65,60,61
23,55,50,79,58,82,72,43,81,72,89,63,59,59
22,53,49,77,56,79,70,42,78,70,86,61,57,58
21,51,47,74,55,76,68,41,76,68,83,59,55,56
20,50,46,72,53,74,66,39,73,66,80,57,54,55
19,48,44,70,51,71,64,38,70,64,77,55,52,53
18,46,43,67,50,69,61,37,67,62,74,53,50,52
17,44,41,65,48,66,59,35,64,59,71,51,49,50
16,43,40,63,46,63,57,34,62,57,68,49,47,49
15,41,38,60,45,61,55,32,59,55,65,47,45,47
14,39,37,58,43,58,53,31,56,53,62,45,44,46
13,37,35,56,41,55,51,30,53,51,59,43,42,44
12,36,34,53,40,53,49,,50,49,56,41,40,43
11,34,32,51,38,50,47,,47,47,53,39,38,41
10,32,,49,36,47,45,,45,44,50,37,37,40
9,30,,46,35,45,43,,42,42,47,35,35,38
8,,,44,,42,40,,39,40,44,33,,37
7,,,42,,39,38,,36,38,41,31,,35
6,,,39,,37,,,33,,38,,,
5,,,,,34,,,,,35,,,
