value,childdomain,parentdomain,totalstress,lifestress
505,,,93,
504,,,93,
503,,,93,
502,,,93,
501,,,93,
500,,,92,
499,,,92,
498,,,92,
497,,,92,
496,,,92,
495,,,92,
494,,,91,
493,,,91,
492,,,91,
491,,,91,
490,,,91,
489,,,91,
488,,,90,
487,,,90,
486,,,90,
485,,,90,
484,,,90,
483,,,90,
482,,,90,
481,,,89,
480,,,89,
479,,,89,
478,,,89,
477,,,89,
476,,,89,
475,,,88,
474,,,88,
473,,,88,
472,,,88,
471,,,88,
470,,,88,
469,,,87,
468,,,87,
467,,,87,
466,,,87,
465,,,87,
464,,,87,
463,,,86,
462,,,86,
461,,,86,
460,,,86,
459,,,86,
458,,,86,
457,,,86,
456,,,85,
455,,,85,
454,,,85,
453,,,85,
452,,,85,
451,,,85,
450,,,84,
449,,,84,
448,,,84,
447,,,84,
446,,,84,
445,,,84,
444,,,83,
443,,,83,
442,,,83,
441,,,83,
440,,,83,
439,,,83,
438,,,82,
437,,,82,
436,,,82,
435,,,82,
434,,,82,
433,,,82,
432,,,82,
431,,,81,
430,,,81,
429,,,81,
428,,,81,
427,,,81,
426,,,81,
425,,,80,
424,,,80,
423,,,80,
422,,,80,
421,,,80,
420,,,80,
419,,,79,
418,,,79,
417,,,79,
416,,,79,
415,,,79,
414,,,79,
413,,,78,
412,,,78,
411,,,78,
410,,,78,
409,,,78,
408,,,78,
407,,,78,
406,,,77,
405,,,77,
404,,,77,
403,,,77,
402,,,77,
401,,,77,
400,,,76,
399,,,76,
398,,,76,
397,,,76,
396,,,76,
395,,,76,
394,,,75,
393,,,75,
392,,,75,
391,,,75,
390,,,75,
389,,,75,
388,,,74,
387,,,74,
386,,,74,
385,,,74,
384,,,74,
383,,,74,
382,,,74,
381,,,73,
380,,,73,
379,,,73,
378,,,73,
377,,,73,
376,,,73,
375,,,72,
374,,,72,
373,,,72,
372,,,72,
371,,,72,
370,,,72,
369,,,71,
368,,,71,
367,,,71,
366,,,71,
365,,,71,
364,,,71,
363,,,70,
362,,,70,
361,,,70,
360,,,70,
359,,,70,
358,,,70,
357,,,70,
356,,,69,
355,,,69,
354,,,69,
353,,,69,
352,,,69,
351,,,69,
350,,,68,
349,,,68,
348,,,68,
347,,,68,
346,,,68,
345,,,68,
344,,,67,
343,,,67,
342,,,67,
341,,,67,
340,,,67,
339,,,67,
338,,,66,
337,,,66,
336,,,66,
335,,,66,
334,,,66,
333,,,66,
332,,,66,
331,,,65,
330,,,65,
329,,,65,
328,,,65,
327,,,65,
326,,,65,
325,,,64,
324,,,64,
323,,,64,
322,,,64,
321,,,64,
320,,,64,
319,,,63,
318,,,63,
317,,,63,
316,,,63,
315,,,63,
314,,,63,
313,,,62,
312,,,62,
311,,,62,
310,,,62,
309,,,62,
308,,,62,
307,,,62,
306,,,61,
305,,,61,
304,,,61,
303,,,61,
302,,,61,
301,,,61,
300,,,60,
299,,,60,
298,,,60,
297,,,60,
296,,,60,
295,,,60,
294,,,59,
293,,,59,
292,,,59,
291,,,59,
290,,,59,
289,,,59,
288,,,58,
287,,,58,
286,,,58,
285,,,58,
284,,,58,
283,,,58,
282,,,57,
281,,,57,
280,,,57,
279,,,57,
278,,,57,
277,,,57,
276,,,57,
275,,,56,
274,,,56,
273,,,56,
272,,,56,
271,,,56,
270,,89,56,
269,,89,55,
268,,89,55,
267,,88,55,
266,,88,55,
265,,88,55,
264,,88,55,
263,,87,54,
262,,87,54,
261,,87,54,
260,,86,54,
259,,86,54,
258,,86,54,
257,,86,53,
256,,85,53,
255,,85,53,
254,,85,53,
253,,85,53,
252,,84,53,
251,,84,53,
250,,84,52,
249,,83,52,
248,,83,52,
247,,83,52,
246,,83,52,
245,,82,52,
244,,82,51,
243,,82,51,
242,,82,51,
241,,81,51,
240,,81,51,
239,,81,51,
238,,80,50,
237,,80,50,
236,,80,50,
235,94,80,50,
234,93,79,50,
233,93,79,50,
232,93,79,49,
231,92,79,49,
230,92,78,49,
229,92,78,49,
228,91,78,49,
227,91,77,49,
226,91,77,49,
225,90,77,48,
224,90,77,48,
223,90,76,48,
222,89,76,48,
221,89,76,48,
220,89,76,48,
219,88,75,47,
218,88,75,47,
217,88,75,47,
216,87,74,47,
215,87,74,47,
214,86,74,47,
213,86,74,46,
212,86,73,46,
211,85,73,46,
210,85,73,46,
209,85,73,46,
208,84,72,46,
207,84,72,45,
206,84,72,45,
205,83,71,45,
204,83,71,45,
203,83,71,45,
202,82,71,45,
201,82,70,45,
200,82,70,44,
199,81,70,44,
198,81,70,44,
197,81,69,44,
196,80,69,44,
195,80,69,44,
194,80,68,43,
193,79,68,43,
192,79,68,43,
191,79,68,43,
190,78,67,43,
189,78,67,43,
188,78,67,42,
187,77,66,42,
186,77,66,42,
185,76,66,42,
184,76,66,42,
183,76,65,42,
182,75,65,41,
181,75,65,41,
180,75,65,41,
179,74,64,41,
178,74,64,41,
177,74,64,41,
176,73,63,41,
175,73,63,40,
174,73,63,40,
173,72,63,40,
172,72,62,40,
171,72,62,40,
170,71,62,40,
169,71,62,39,
168,71,61,39,
167,70,61,39,
166,70,61,39,
165,70,60,39,
164,69,60,39,
163,69,60,38,
162,69,60,38,
161,68,59,38,
160,68,59,38,
159,67,59,38,
158,67,59,38,
157,67,58,37,
156,66,58,37,
155,66,58,37,
154,66,57,37,
153,65,57,37,
152,65,57,37,
151,65,57,37,
150,64,56,36,
149,64,56,36,
148,64,56,36,
147,63,56,36,
146,63,55,36,
145,63,55,36,
144,62,55,35,
143,62,54,35,
142,62,54,35,
141,61,54,35,
140,61,54,35,
139,61,53,35,
138,60,53,34,
137,60,53,34,
136,60,53,34,
135,59,52,34,
134,59,52,34,
133,59,52,34,
132,58,51,33,
131,58,51,33,
130,57,51,33,
