value,distract_hyper,adaptability,reinforcesparent,demandingness,mood,acceptability,coompetence,isolation,attachment,health,rolerestriction,depression,spouse
65,,,,,,,90,,,,,,
64,,,,,,,89,,,,,,
63,,,,,,,88,,,,,,
62,,,,,,,87,,,,,,
61,,,,,,,86,,,,,,
60,,,,,,,85,,,,,,
59,,,,,,,83,,,,,,
58,,,,,,,82,,,,,,
57,,,,,,,81,,,,,,
56,,,,,,,80,,,,,,
55,,88,,,,,79,,,,,,
54,,87,,,,,77,,,,,,
53,,86,,,,,76,,,,,,
52,,84,,,,,75,,,,,,
51,,83,,,,,74,,,,,,
50,,82,,,,,73,,,,,,
49,,81,,,,,72,,,,,,
48,,80,,,,,70,,,,,,
47,,78,,,,,69,,,,,,
46,,77,,,,,68,,,,,,
45,80,76,,83,,,67,,,,,85,
44,79,75,,82,,,66,,,,,84,
43,78,73,,81,,,64,,,,,83,
42,76,72,,79,,,63,,,,,81,
41,75,71,,78,,,62,,,,,80,
40,74,70,,77,,,61,,,,,78,
39,72,68,,75,,,60,,,,,77,
38,71,67,,74,,,58,,,,,76,
37,70,66,,73,,,57,,,,,74,
36,68,65,,71,,,56,,,,,73,
35,67,63,,70,,86,55,,88,,79,71,74
34,65,62,,69,,84,54,,87,,77,70,72
33,64,61,,67,,82,53,,85,,76,69,71
32,63,60,,66,,81,51,,83,,74,67,70
31,61,58,,64,,79,50,,81,,72,66,68
30,60,57,88,63,,77,49,82,79,,70,64,67
29,59,56,86,62,,76,48,80,77,,69,63,65
28,57,55,84,60,,74,47,78,76,,67,62,64
27,56,53,81,59,,72,45,76,74,,65,60,62
26,55,52,79,58,,71,44,74,72,,63,59,61
25,53,51,77,56,80,69,43,72,70,81,61,57,60
24,52,50,75,55,77,67,42,70,68,79,60,56,58
23,51,48,73,54,75,66,41,68,66,76,58,55,57
22,49,47,71,52,73,64,39,66,64,74,56,53,55
21,48,46,68,51,71,62,38,64,63,72,54,52,54
20,47,45,66,49,68,61,37,62,61,70,53,50,52
19,45,43,64,48,66,59,36,60,59,67,51,49,51
18,44,42,62,47,64,57,35,59,57,65,49,48,50
17,43,41,60,45,61,56,34,57,55,63,47,46,48
16,41,40,58,44,59,54,32,55,53,60,46,45,47
15,40,38,56,43,57,53,31,53,51,58,44,43,45
14,39,37,53,41,54,51,30,51,50,56,42,42,44
13,37,36,51,40,52,49,29,49,48,54,40,41,42
12,36,35,49,39,50,48,,47,46,51,39,39,41
11,35,34,47,37,48,46,,45,44,49,37,38,40
10,33,,45,36,45,44,,43,42,47,35,37,38
9,32,,43,34,43,43,,41,40,44,33,35,37
8,,,40,,41,41,,39,39,42,31,,35
7,,,38,,38,39,,37,37,40,30,,34
6,,,36,,36,,,36,,38,,,
5,,,,,34,,,,,35,,,
