value,distract_hyper,adaptability,reinforcesparent,demandingness,mood,acceptability,coompetence,isolation,attachment,health,rolerestriction,depression,spouse
65,,,,,,,86,,,,,,
64,,,,,,,85,,,,,,
63,,,,,,,84,,,,,,
62,,,,,,,83,,,,,,
61,,,,,,,82,,,,,,
60,,,,,,,81,,,,,,
59,,,,,,,80,,,,,,
58,,,,,,,79,,,,,,
57,,,,,,,78,,,,,,
56,,,,,,,77,,,,,,
55,,89,,,,,76,,,,,,
54,,87,,,,,75,,,,,,
53,,86,,,,,74,,,,,,
52,,85,,,,,73,,,,,,
51,,83,,,,,72,,,,,,
50,,82,,,,,71,,,,,,
49,,81,,,,,70,,,,,,
48,,79,,,,,68,,,,,,
47,,78,,,,,67,,,,,,
46,,77,,,,,66,,,,,,
45,90,75,,90,,,65,,,,,85,
44,88,74,,88,,,64,,,,,84,
43,86,73,,87,,,63,,,,,82,
42,85,71,,85,,,62,,,,,81,
41,83,70,,84,,,61,,,,,80,
40,81,69,,82,,,60,,,,,78,
39,79,67,,81,,,59,,,,,77,
38,77,66,,79,,,58,,,,,76,
37,76,65,,78,,,57,,,,,74,
36,74,63,,77,,,56,,,,,73,
35,72,62,,75,,85,55,,91,,80,72,77
34,70,61,,74,,83,54,,89,,78,70,76
33,69,59,,72,,81,53,,87,,76,69,74
32,67,58,,71,,80,52,,85,,74,68,73
31,65,57,,69,,78,50,,83,,73,66,71
30,63,56,92,68,,77,49,84,81,,71,65,70
29,61,54,90,67,,75,48,82,80,,69,64,68
28,60,53,88,65,,73,47,80,78,,67,62,67
27,58,52,86,64,,72,46,78,76,,66,61,65
26,56,50,83,62,,70,45,76,74,,64,60,64
25,54,49,81,61,88,69,44,73,72,86,62,58,62
24,52,48,79,59,85,67,43,71,71,84,60,57,61
23,51,46,77,58,83,65,42,69,69,81,58,56,59
22,49,45,75,57,80,64,41,67,67,78,57,54,58
21,47,44,72,55,77,62,40,65,65,76,55,53,56
20,45,42,70,54,75,61,39,63,63,73,53,52,55
19,44,41,68,52,72,59,38,61,62,70,51,50,53
18,42,40,66,51,70,57,37,59,60,68,49,49,52
17,40,38,63,49,67,56,36,56,58,65,48,48,50
16,38,37,61,48,64,54,35,54,56,63,46,46,49
15,36,36,59,47,62,53,34,52,54,60,44,45,47
14,35,34,57,45,59,51,33,50,53,57,42,44,46
13,33,33,54,44,56,49,31,48,51,55,41,42,44
12,31,32,52,42,54,48,,46,49,52,39,41,43
11,29,30,50,41,51,46,,44,47,49,37,40,41
10,28,,48,39,48,45,,42,45,47,35,38,40
9,26,,46,38,46,43,,39,44,44,33,37,38
8,,,43,,43,41,,37,42,41,32,,37
7,,,41,,39,40,,35,40,39,30,,35
6,,,39,,37,,,33,,36,,,
5,,,,,34,,,,,33,,,
