value,distract_hyper,adaptability,reinforcesparent,demandingness,mood,acceptability,coompetence,isolation,attachment,health,rolerestriction,depression,spouse
65,,,,,,,90,,,,,,
64,,,,,,,89,,,,,,
63,,,,,,,88,,,,,,
62,,,,,,,87,,,,,,
61,,,,,,,86,,,,,,
60,,,,,,,84,,,,,,
59,,,,,,,83,,,,,,
58,,,,,,,82,,,,,,
57,,,,,,,81,,,,,,
56,,,,,,,80,,,,,,
55,,88,,,,,79,,,,,,
54,,87,,,,,78,,,,,,
53,,86,,,,,76,,,,,,
52,,84,,,,,75,,,,,,
51,,83,,,,,74,,,,,,
50,,82,,,,,73,,,,,,
49,,80,,,,,72,,,,,,
48,,79,,,,,71,,,,,,
47,,78,,,,,70,,,,,,
46,,76,,,,,68,,,,,,
45,82,75,,84,,,67,,,,,86,
44,81,74,,83,,,66,,,,,84,
43,79,72,,81,,,65,,,,,83,
42,78,71,,80,,,64,,,,,82,
41,76,70,,78,,,63,,,,,80,
40,75,68,,77,,,62,,,,,79,
39,73,67,,76,,,61,,,,,77,
38,72,65,,74,,,59,,,,,76,
37,70,64,,73,,,58,,,,,75,
36,69,63,,71,,,57,,,,,73,
35,67,61,,70,,86,56,,89,,77,72,78
34,66,60,,69,,85,55,,87,,76,71,76
33,64,59,,67,,83,54,,85,,74,69,75
32,63,57,,66,,81,53,,83,,72,68,73
31,62,56,,64,,79,51,,82,,71,66,72
30,60,55,98,63,,78,50,85,80,,69,65,70
29,59,53,96,62,,76,49,83,78,,67,64,69
28,57,52,93,60,,74,48,81,76,,66,62,67
27,56,51,91,59,,72,47,79,74,,64,61,66
26,54,49,88,57,,71,46,77,73,,62,59,64
25,53,48,86,56,82,69,45,75,71,94,61,58,62
24,51,47,83,55,79,67,43,73,69,91,59,57,61
23,50,45,80,53,77,65,42,71,67,88,57,55,59
22,48,44,78,52,74,64,41,69,66,85,56,54,58
21,47,43,75,50,72,62,40,67,64,82,54,52,56
20,45,41,73,49,69,60,39,65,62,79,53,51,55
19,44,40,70,48,67,58,38,63,60,76,51,50,53
18,42,39,68,46,64,57,37,61,58,73,49,48,52
17,41,37,65,45,62,55,35,59,57,70,48,47,50
16,39,36,63,44,59,53,34,57,55,67,46,46,49
15,38,35,60,42,57,51,33,55,53,64,44,44,47
14,36,33,57,41,54,50,32,52,51,60,43,43,45
13,35,32,55,39,52,48,31,50,50,57,41,41,44
12,33,31,52,38,49,46,,48,48,54,39,40,42
11,32,29,50,37,47,44,,46,46,51,38,39,41
10,30,,47,35,44,43,,44,44,48,36,37,39
9,29,,45,34,42,41,,42,43,45,34,36,38
8,,,42,,39,39,,40,41,42,33,,36
7,,,39,,37,37,,38,39,39,31,,35
6,,,37,,34,,,36,,36,,,
5,,,,,32,,,,,33,,,
