value,childdomain,parentdomain,totalstress,lifestress
505,,,97,
504,,,96,
503,,,96,
502,,,96,
501,,,96,
500,,,96,
499,,,96,
498,,,95,
497,,,95,
496,,,95,
495,,,95,
494,,,95,
493,,,95,
492,,,94,
491,,,94,
490,,,94,
489,,,94,
488,,,94,
487,,,93,
486,,,93,
485,,,93,
484,,,93,
483,,,93,
482,,,93,
481,,,92,
480,,,92,
479,,,92,
478,,,92,
477,,,92,
476,,,92,
475,,,91,
474,,,91,
473,,,91,
472,,,91,
471,,,91,
470,,,91,
469,,,90,
468,,,90,
467,,,90,
466,,,90,
465,,,90,
464,,,90,
463,,,89,
462,,,89,
461,,,89,
460,,,89,
459,,,89,
458,,,89,
457,,,88,
456,,,88,
455,,,88,
454,,,88,
453,,,88,
452,,,88,
451,,,87,
450,,,87,
449,,,87,
448,,,87,
447,,,87,
446,,,87,
445,,,86,
444,,,86,
443,,,86,
442,,,86,
441,,,86,
440,,,86,
439,,,85,
438,,,85,
437,,,85,
436,,,85,
435,,,85,
434,,,85,
433,,,84,
432,,,84,
431,,,84,
430,,,84,
429,,,84,
428,,,84,
427,,,83,
426,,,83,
425,,,83,
424,,,83,
423,,,83,
422,,,83,
421,,,82,
420,,,82,
419,,,82,
418,,,82,
417,,,82,
416,,,82,
415,,,81,
414,,,81,
413,,,81,
412,,,81,
411,,,81,
410,,,81,
409,,,80,
408,,,80,
407,,,80,
406,,,80,
405,,,80,
404,,,80,
403,,,79,
402,,,79,
401,,,79,
400,,,79,
399,,,79,
398,,,79,
397,,,78,
396,,,78,
395,,,78,
394,,,78,
393,,,78,
392,,,78,
391,,,77,
390,,,77,
389,,,77,
388,,,77,
387,,,77,
386,,,77,
385,,,76,
384,,,76,
383,,,76,
382,,,76,
381,,,76,
380,,,76,
379,,,75,
378,,,75,
377,,,75,
376,,,75,
375,,,75,
374,,,75,
373,,,74,
372,,,74,
371,,,74,
370,,,74,
369,,,74,
368,,,74,
367,,,73,
366,,,73,
365,,,73,
364,,,73,
363,,,73,
362,,,73,
361,,,72,
360,,,72,
359,,,72,
358,,,72,
357,,,72,
356,,,72,
355,,,71,
354,,,71,
353,,,71,
352,,,71,
351,,,71,
350,,,71,
349,,,70,
348,,,70,
347,,,70,
346,,,70,
345,,,70,
344,,,70,
343,,,69,
342,,,69,
341,,,69,
340,,,69,
339,,,69,
338,,,69,
337,,,68,
336,,,68,
335,,,68,
334,,,68,
333,,,68,
332,,,68,
331,,,67,
330,,,67,
329,,,67,
328,,,67,
327,,,67,
326,,,67,
325,,,66,
324,,,66,
323,,,66,
322,,,66,
321,,,66,
320,,,66,
319,,,65,
318,,,65,
317,,,65,
316,,,65,
315,,,65,
314,,,65,
313,,,64,
312,,,64,
311,,,64,
310,,,64,
309,,,64,
308,,,64,
307,,,63,
306,,,63,
305,,,63,
304,,,63,
303,,,63,
302,,,63,
301,,,62,
300,,,62,
299,,,62,
298,,,62,
297,,,62,
296,,,62,
295,,,61,
294,,,61,
293,,,61,
292,,,61,
291,,,61,
290,,,60,
289,,,60,
288,,,60,
287,,,60,
286,,,60,
285,,,60,
284,,,59,
283,,,59,
282,,,59,
281,,,59,
280,,,59,
279,,,59,
278,,,58,
277,,,58,
276,,,58,
275,,,58,
274,,,58,
273,,,58,
272,,,57,
271,,,57,
270,,94,57,
269,,94,57,
268,,93,57,
267,,93,57,
266,,93,56,
265,,93,56,
264,,92,56,
263,,92,56,
262,,92,56,
261,,91,56,
260,,91,55,
259,,91,55,
258,,90,55,
257,,90,55,
256,,90,55,
255,,90,55,
254,,89,54,
253,,89,54,
252,,89,54,
251,,88,54,
250,,88,54,
249,,88,54,
248,,87,53,
247,,87,53,
246,,87,53,
245,,87,53,
244,,86,53,
243,,86,53,
242,,86,52,
241,,85,52,
240,,85,52,
239,,85,52,
238,,84,52,
237,,84,52,
236,,84,51,
235,95,84,51,
234,94,83,51,
233,94,83,51,
232,94,83,51,
231,93,82,51,
230,93,82,50,
229,93,82,50,
228,92,81,50,
227,92,81,50,
226,92,81,50,
225,91,81,50,
224,91,80,49,
223,91,80,49,
222,90,80,49,
221,90,79,49,
220,90,79,49,
219,89,79,49,
218,89,78,48,
217,89,78,48,
216,88,78,48,
215,88,78,48,
214,88,77,48,
213,87,77,48,
212,87,77,47,
211,87,76,47,
210,86,76,47,
209,86,76,47,
208,86,75,47,
207,85,75,47,
206,85,75,46,
205,84,75,46,
204,84,74,46,
203,84,74,46,
202,83,74,46,
201,83,73,46,
200,83,73,45,
199,82,73,45,
198,82,72,45,
197,82,72,45,
196,81,72,45,
195,81,72,45,
194,81,71,44,
193,80,71,44,
192,80,71,44,
191,80,70,44,
190,79,70,44,
189,79,70,44,
188,79,69,43,
187,78,69,43,
186,78,69,43,
185,78,69,43,
184,77,68,43,
183,77,68,43,
182,77,68,42,
181,76,67,42,
180,76,67,42,
179,76,67,42,
178,75,66,42,
177,75,66,42,
176,75,66,41,
175,74,66,41,
174,74,65,41,
173,74,65,41,
172,73,65,41,
171,73,64,41,
170,73,64,40,
169,72,64,40,
168,72,63,40,
167,71,63,40,
166,71,63,40,
165,71,63,40,
164,70,62,39,
163,70,62,39,
162,70,62,39,
161,69,61,39,
160,69,61,39,
159,69,61,39,
158,68,60,38,
157,68,60,38,
156,68,60,38,
155,67,60,38,
154,67,59,38,
153,67,59,38,
152,66,59,37,
151,66,58,37,
150,66,58,37,
149,65,58,37,
148,65,57,37,
147,65,57,37,
146,64,57,36,
145,64,57,36,
144,64,56,36,
143,63,56,36,
142,63,56,36,
141,63,55,36,
140,62,55,35,
139,62,55,35,
138,62,54,35,
137,61,54,35,
136,61,54,35,
135,61,54,35,
134,60,53,34,
133,60,53,34,
132,60,53,34,
131,59,52,34,
130,59,52,34,
129,58,52,34,
128,58,51,33,
127,58,51,33,
126,57,51,33,
125,57,51,33,
124,57,50,33,
123,56,50,33,
122,56,50,32,
121,56,49,32,
120,55,49,32,
119,55,49,32,
118,55,48,32,
117,54,48,32,
116,54,48,31,
115,54,48,31,
114,53,47,31,
113,53,47,31,
112,53,47,31,
111,52,46,31,
110,52,46,30,
109,52,46,30,
108,51,45,30,
107,51,45,30,
106,51,45,30,
105,50,45,30,
104,50,44,29,
103,50,44,29,
102,49,44,29,
101,49,43,29,
100,49,43,,
99,48,43,,
98,48,42,,
97,48,42,,
96,47,42,,
95,47,42,,
94,47,41,,
93,46,41,,
92,46,41,,
91,45,40,,
90,45,40,,
89,45,40,,
88,44,39,,
87,44,39,,
86,44,39,,
85,43,39,,
84,43,38,,
83,43,38,,
82,42,38,,
81,42,37,,
80,42,37,,
79,41,37,,>=107
78,41,36,,106
77,41,36,,105
76,40,36,,104
75,40,36,,103
74,40,35,,103
73,39,35,,102
72,39,35,,101
71,39,34,,100
70,38,34,,99
69,38,34,,98
68,38,33,,97
67,37,33,,96
66,37,33,,96
65,37,33,,95
64,36,32,,94
63,36,32,,93
62,36,32,,92
61,35,31,,91
