value,distract_hyper,adaptability,reinforcesparent,demandingness,mood,acceptability,coompetence,isolation,attachment,health,rolerestriction,depression,spouse
65,,,,,,,>=99,,,,,,
64,,,,,,,>=99,,,,,,
63,,,,,,,>=99,,,,,,
62,,,,,,,>=99,,,,,,
61,,,,,,,>=99,,,,,,
60,,,,,,,>=99,,,,,,
59,,,,,,,>=99,,,,,,
58,,,,,,,>=99,,,,,,
57,,,,,,,>=99,,,,,,
56,,,,,,,>=99,,,,,,
55,,>=99,,,,,>=99,,,,,,
54,,>=99,,,,,>=99,,,,,,
53,,>=99,,,,,>=99,,,,,,
52,,>=99,,,,,>=99,,,,,,
51,,>=99,,,,,98,,,,,,
50,,>=99,,,,,98,,,,,,
49,,>=99,,,,,98,,,,,,
48,,>=99,,,,,98,,,,,,
47,,>=99,,,,,98,,,,,,
46,,>=99,,,,,96,,,,,,
45,>=99,>=99,,>=99,,,95,,,,,>=99,
44,>=99,>=99,,>=99,,,95,,,,,>=99,
43,>=99,>=99,,>=99,,,93,,,,,>=99,
42,>=99,>=99,,>=99,,,93,,,,,>=99,
41,>=99,>=99,,>=99,,,88,,,,,>=99,
40,>=99,>=99,,>=99,,,86,,,,,>=99,
39,>=99,>=99,,>=99,,,83,,,,,>=99,
38,>=99,>=99,,>=99,,,83,,,,,>=99,
37,>=99,96,,>=99,,,81,,,,,>=99,
36,>=99,95,,>=99,,,81,,,,,>=99,
35,>=99,95,,>=99,,>=99,81,,>=99,,>=99,>=99,>=99
34,96,94,,98,,>=99,80,,>=99,,>=99,98,>=99
33,95,90,,96,,>=99,78,,>=99,,>=99,98,>=99
32,93,88,,96,,>=99,78,,>=99,,>=99,98,>=99
31,90,86,,95,,>=99,73,,>=99,,>=99,98,98
30,90,84,>=99,95,,>=99,70,>=99,>=99,,>=99,98,98
29,88,82,>=99,93,,>=99,64,>=99,>=99,,>=99,96,98
28,83,82,>=99,93,,>=99,58,>=99,>=99,,>=99,95,98
27,80,81,>=99,88,,>=99,51,>=99,>=99,,>=99,88,95
26,78,77,>=99,86,,98,48,>=99,>=99,,>=99,88,94
25,77,76,>=99,86,>=99,96,43,>=99,>=99,>=99,95,84,90
24,71,72,>=99,80,>=99,94,37,98,>=99,>=99,95,82,87
23,65,70,>=99,80,>=99,92,34,98,98,>=99,94,80,83
22,59,70,>=99,73,>=99,90,29,98,98,>=99,93,80,83
21,52,65,>=99,69,>=99,87,24,98,94,96,82,80,73
20,52,54,98,61,>=99,87,20,98,93,96,81,80,71
19,49,45,98,57,98,82,12,94,84,95,76,75,66
18,41,39,98,51,96,82,6,92,82,95,67,69,63
17,37,33,96,47,95,80,2,84,81,93,54,58,58
16,30,23,95,46,92,80,<=1,81,78,92,48,51,52
15,24,19,86,36,88,76,<=1,72,76,86,42,46,46
14,18,13,81,34,84,75,<=1,69,72,81,35,40,37
13,14,11,75,25,77,67,<=1,63,65,78,31,36,34
12,8,5,66,22,72,63,,51,63,72,25,24,24
11,7,4,59,12,66,57,,40,54,67,17,18,19
10,5,,46,10,51,48,,35,49,61,12,13,12
9,4,,39,4,45,45,,31,46,49,5,8,8
8,,,33,,34,28,,23,37,43,<=1,,8
7,,,23,,18,13,,14,10,27,<=1,,6
6,,,16,,11,,,8,,19,,,
5,,,,,6,,,,,10,,,
