value,distract_hyper,adaptability,reinforcesparent,demandingness,mood,acceptability,coompetence,isolation,attachment,health,rolerestriction,depression,spouse
65,,,,,,,93,,,,,,
64,,,,,,,92,,,,,,
63,,,,,,,91,,,,,,
62,,,,,,,90,,,,,,
61,,,,,,,88,,,,,,
60,,,,,,,87,,,,,,
59,,,,,,,86,,,,,,
58,,,,,,,85,,,,,,
57,,,,,,,84,,,,,,
56,,,,,,,82,,,,,,
55,,89,,,,,81,,,,,,
54,,88,,,,,80,,,,,,
53,,87,,,,,79,,,,,,
52,,85,,,,,78,,,,,,
51,,84,,,,,77,,,,,,
50,,83,,,,,75,,,,,,
49,,82,,,,,74,,,,,,
48,,80,,,,,73,,,,,,
47,,79,,,,,72,,,,,,
46,,78,,,,,71,,,,,,
45,81,76,,85,,,69,,,,,87,
44,80,75,,84,,,68,,,,,86,
43,79,74,,83,,,67,,,,,84,
42,77,73,,81,,,66,,,,,83,
41,76,71,,80,,,65,,,,,82,
40,74,70,,78,,,64,,,,,80,
39,73,69,,77,,,62,,,,,79,
38,72,68,,76,,,61,,,,,77,
37,70,66,,74,,,60,,,,,76,
36,69,65,,73,,,59,,,,,75,
35,67,64,,71,,90,58,,95,,87,73,77
34,66,62,,70,,88,56,,93,,85,72,75
33,65,61,,69,,87,55,,91,,83,70,74
32,63,60,,67,,85,54,,89,,81,69,72
31,62,59,,66,,83,53,,87,,79,68,71
30,61,57,92,64,,81,52,87,85,,77,66,70
29,59,56,90,63,,79,51,85,83,,75,65,68
28,58,55,87,62,,77,49,83,81,,73,63,67
27,56,54,85,60,,75,48,80,79,,71,62,65
26,55,52,83,59,,74,47,78,77,,69,61,64
25,54,51,80,57,80,72,46,76,75,89,67,59,62
24,52,50,78,56,78,70,45,74,73,86,65,58,61
23,51,48,76,55,76,68,43,72,71,83,63,57,60
22,49,47,74,53,73,66,42,69,69,81,61,55,58
21,48,46,71,52,71,64,41,67,67,78,59,54,57
20,47,45,69,51,69,62,40,65,65,75,57,52,55
19,45,43,67,49,66,61,39,63,63,73,55,51,54
18,44,42,65,48,64,59,38,61,61,70,53,50,52
17,42,41,62,46,62,57,36,59,59,67,51,48,51
16,41,40,60,45,60,55,35,56,57,65,49,47,50
15,40,38,58,44,57,53,34,54,55,62,47,45,48
14,38,37,56,42,55,51,33,52,53,59,45,44,47
13,37,36,53,41,53,49,32,50,51,57,43,43,45
12,35,34,51,39,51,48,,48,49,54,41,41,44
11,34,33,49,38,48,46,,45,47,51,39,40,42
10,33,,47,37,46,44,,43,45,49,37,39,41
9,31,,44,35,44,42,,41,43,46,35,37,40
8,,,42,,41,40,,39,41,44,33,,38
7,,,40,,39,38,,37,39,41,31,,37
6,,,38,,37,,,35,,38,,,
5,,,,,35,,,,,36,,,
