value,distract_hyper,adaptability,reinforcesparent,demandingness,mood,acceptability,coompetence,isolation,attachment,health,rolerestriction,depression,spouse
65,,,,,,,>=99,,,,,,
64,,,,,,,>=99,,,,,,
63,,,,,,,>=99,,,,,,
62,,,,,,,>=99,,,,,,
61,,,,,,,>=99,,,,,,
60,,,,,,,>=99,,,,,,
59,,,,,,,>=99,,,,,,
58,,,,,,,>=99,,,,,,
57,,,,,,,>=99,,,,,,
56,,,,,,,>=99,,,,,,
55,,>=99,,,,,>=99,,,,,,
54,,>=99,,,,,>=99,,,,,,
53,,>=99,,,,,>=99,,,,,,
52,,>=99,,,,,>=99,,,,,,
51,,>=99,,,,,>=99,,,,,,
50,,>=99,,,,,>=99,,,,,,
49,,>=99,,,,,>=99,,,,,,
48,,>=99,,,,,>=99,,,,,,
47,,>=99,,,,,>=99,,,,,,
46,,>=99,,,,,>=99,,,,,,
45,>=99,>=99,,>=99,,,>=99,,,,,>=99,
44,>=99,>=99,,>=99,,,98,,,,,>=99,
43,>=99,>=99,,>=99,,,98,,,,,>=99,
42,>=99,>=99,,>=99,,,95,,,,,>=99,
41,>=99,>=99,,>=99,,,94,,,,,>=99,
40,>=99,96,,>=99,,,89,,,,,>=99,
39,98,95,,>=99,,,83,,,,,>=99,
38,98,95,,>=99,,,81,,,,,>=99,
37,98,93,,>=99,,,77,,,,,>=99,
36,98,92,,>=99,,,73,,,,,>=99,
35,98,89,,>=99,,>=99,73,,>=99,,>=99,>=99,>=99
34,95,83,,96,,>=99,69,,>=99,,>=99,,>=99
33,93,81,,95,,>=99,65,,>=99,,>=99,,98
32,89,78,,95,,>=99,60,,>=99,,>=99,98,98
31,86,73,,94,,>=99,57,,>=99,,98,98,98
30,84,66,>=99,93,,>=99,52,>=99,>=99,,96,98,96
29,78,64,>=99,89,,>=99,48,>=99,>=99,,96,95,96
28,75,63,>=99,83,,98,46,>=99,>=99,,96,90,95
27,67,59,>=99,78,,98,40,>=99,>=99,,96,83,92
26,66,54,>=99,77,,98,39,>=99,>=99,,93,81,88
25,57,48,>=99,75,>=99,95,31,>=99,98,>=99,90,76,87
24,57,40,>=99,72,>=99,94,27,>=99,96,>=99,88,72,84
23,43,37,>=99,66,>=99,92,16,98,96,>=99,81,69,78
22,37,29,>=99,65,98,92,14,95,94,>=99,77,64,76
21,34,27,>=99,58,98,87,11,90,87,>=99,73,57,66
20,31,16,98,54,98,87,7,86,84,95,69,52,60
19,27,12,94,51,96,81,4,82,82,95,65,45,49
18,18,11,93,46,95,78,2,77,80,95,58,36,48
17,13,7,87,39,90,76,<=1,71,78,94,47,31,41
16,8,<=1,84,30,86,72,<=1,66,77,89,40,27,37
15,5,<=1,82,20,82,70,<=1,58,75,84,31,22,33
14,2,<=1,78,7,78,69,<=1,58,67,83,28,20,29
13,<=1,<=1,70,4,69,64,<=1,51,63,75,18,17,22
12,<=1,<=1,63,2,65,54,,41,52,66,13,13,14
11,<=1,<=1,54,<=1,51,47,,27,45,54,7,8,11
10,<=1,,47,<=1,39,39,,23,36,39,5,6,10
9,<=1,,39,<=1,29,28,,19,24,29,5,4,10
8,,,35,,20,23,,14,19,19,4,,7
7,,,28,,13,12,,8,10,13,2,,6
6,,,14,,<=1,,,4,,8,,,
5,,,,,<=1,,,,,4,,,
