t_scores,TR,EP,NM,NS,FP,IE,IP
90,28,16,11,7,15,11,6
89,27,,,,14,,
88,,,10,,,,5
87,26,15,,,,,
86,,,,,,10,
85,25,,,,13,,
84,24,14,,,,,
83,,,9,6,,,
82,23,,,,12,,
81,,13,,,,9,
80,22,,,,,,
79,,,,,,,4
78,21,12,8,,11,,
77,,,,5,,8,
76,20,,,,,,
75,,11,,,10,,
74,19,,7,,,,
73,18,,,,,,
72,,10,,,,7,
71,17,,,,9,,
70,,,,4,,,3
69,16,9,6,,,,
68,,,,,8,,
67,15,,,,,6,
66,,8,,,,,
65,14,,5,,,,
64,13,,,3,7,,
63,,7,,,,5,
62,12,,,,,,
61,,,,,6,,2
60,11,6,4,,,,
59,,,,,,,
58,10,,,,,4,
57,,5,,2,5,,
56,9,,,,,,
55,8,,3,,,,
54,,4,,,4,,
53,7,,,,,3,
52,,,,,,,1
51,6,3,2,1,,,
50,,,,,3,,
49,5,,,,,2,
48,,2,,,,,
47,4,,,,2,,
46,3,,1,,,,
45,,1,,,,,
44,2,,,0,,1,
43,,,,,1,,
42,1,0,0,,,,0
41,,,,,,,
40,0,,,,0,0,
