t_scores,TR,EP,NM,NS,FP,IE,IP
90,33,18,12,8,17,13,6
89,,,,,,,
88,32,,,,16,,
87,31,17,11,,,,
86,,,,,,12,
85,30,,,7,15,,
84,29,16,,,,,5
83,,,,,,,
82,28,15,10,,14,11,
81,27,,,,,,
80,,,,,,,
79,26,14,,6,13,,
78,25,,9,,,10,
77,,,,,,,
76,24,13,,,12,,4
75,23,,,,,,
74,,12,8,,,9,
73,22,,,5,11,,
72,21,,,,,,
71,,11,,,,,
70,20,,7,,,8,
69,19,10,,,10,,
68,,,,,,,
67,18,,,4,,,3
66,17,9,6,,9,7,
65,,,,,,,
64,16,,,,,,
63,15,8,,,8,,
62,,,5,,,6,
61,14,7,,3,,,
60,13,,,,7,,
59,,,,,,,2
58,12,6,4,,,5,
57,11,,,,6,,
56,,,,,,,
55,10,5,,2,,,
54,,,3,,5,4,
53,9,4,,,,,
52,8,,,,,,
51,,,,,4,,1
50,7,3,2,,,3,
49,6,,,1,,,
48,,,,,3,,
47,5,2,,,,,
46,4,,1,,,2,
45,,1,,,2,,
44,3,,,0,,,
43,2,,,,,,
42,,0,0,,1,1,0
41,1,,,,,,
40,0,,,,0,0,
