T,3AI,3GI_RI,3GI_EL
90+,8,13,5
89, ,12, 
88, ,  , 
87, ,  , 
86,7,  , 
85, ,11,4
84, ,  , 
83, ,  , 
82, ,10, 
81, ,  , 
80,6,  , 
79, ,  , 
78, ,9, 
77, ,  , 
76, ,  , 
75, ,  ,3
74,5,8, 
73, ,  , 
72, ,  , 
71, ,  , 
70, ,7, 
69,4,  , 
68, ,  , 
67, ,  , 
66, ,6,2
65, ,  , 
64, ,  , 
63,3,  , 
62, ,5, 
61, ,  , 
60, ,  , 
59, ,4, 
58, ,  , 
57,2,  , 
56, ,  ,1
55, ,3, 
54, ,  , 
53, ,  , 
52,1,  , 
51, ,2, 
50, ,  , 
49, ,  , 
48, ,  , 
47, ,1, 
46,0,  ,0
45, ,  , 
44, ,  , 
43, ,0, 
42, ,  , 
41, ,  , 
<=40, ,  , 
