T,3AI,3GI_RI,3GI_EL
90+,9,14,7
89, ,  ,6
88, ,  , 
87,8,13, 
86, ,  , 
85, ,  , 
84, ,12, 
83, ,  , 
82,7,  ,5
81, ,11, 
80, ,  , 
79, ,  , 
78, ,  , 
77, ,10, 
76,6,  , 
75, ,  ,4
74, ,9, 
73, ,  , 
72, ,  , 
71,5,  , 
70, ,8, 
69, ,  , 
68, ,  , 
67, ,7,3
66,4,  , 
65, ,  , 
64, ,  , 
63, ,6, 
62, ,  , 
61,3,  , 
60, ,5,2
59, ,  , 
58, ,  , 
57, ,  , 
56,2,4, 
55, ,  , 
54, ,  , 
53, ,3, 
52, ,  ,1
51,1,  , 
50, ,2, 
49, ,  , 
48, ,  , 
47, ,  , 
46, ,1, 
45,0,  ,0
44, ,  , 
43, ,0, 
42, ,  , 
41, ,  , 
<=40, ,  , 
