T,IN,HY,LE,LP,EF,AG,PR,GI,AN,AH,CD,OD
>=90,,48,,,,17,13,24,,30,11,11
89,,47,,,,,,23,,29,,
88,,46,,,,,,,,,,
87,,45,,,,16,,,30,28,10,
86,,44,48,,,,12,22,,27,,10
85,,43,47,,,,,,29,,,
84,,42,46,,,15,,21,,26,,
83,30,,45,18,,,,,28,,9,
82,,41,44,,,,11,20,27,25,,
81,29,40,43,17,,14,,,,,,9
80,28,39,42,,21,,,19,26,24,,
79,,38,41,16,,13,10,,25,23,,
78,27,37,40,,20,,,18,,,8,
77,26,36,39,,,,,,24,22,,8
76,,35,38,15,19,12,,17,,,,
75,25,34,37,,,,9,,23,21,,
74,24,33,36,14,18,,,16,22,,7,
73,,32,35,,,11,,,,20,,7
72,23,31,34,13,17,,8,15,21,,,
71,22,30,33,,,10,,,,19,,
70,,29,32,12,,,,14,20,18,6,
69,21,,31,,16,,,,19,,,6
68,20,28,30,,,9,7,13,,17,,
67,,27,29,11,15,,,,18,,,
66,19,26,28,,,,,,17,16,5,
65,,25,27,10,14,8,6,12,,,,5
64,18,24,26,,,,,,16,15,,
63,17,23,25,9,13,7,,11,,14,,
62,,22,24,,,,,,15,,4,
61,16,21,23,,12,,5,10,14,13,,4
60,15,20,22,8,,6,,,,,,
59,,19,21,,11,,,9,13,12,,
58,14,18,20,7,,,,,12,,3,
57,13,17,19,,10,5,4,8,,11,,3
56,,16,18,6,,,,,11,10,,
55,12,,17,,9,4,,7,,,,
54,11,15,16,,,,3,,10,9,2,
53,,14,15,5,8,,,6,9,,,
52,10,13,14,,,3,,,,8,,2
51,9,12,13,4,7,,,5,8,,,
50,,11,12,,,,2,,,7,,
49,8,10,11,3,6,2,,4,7,,1,
48,7,9,10,,,,,,6,6,,1
47,,8,9,,,1,1,3,,5,,
46,6,7,8,2,5,,,,5,,,
45,5,6,,,,,,,4,4,0,
44,,5,7,1,4,0,,2,,,,0
43,4,4,6,,,,0,,3,3,,
42,3,3,5,0,3,,,1,,,,
41,,,4,,,,,,2,2,,
<=40,2,2,3,,2,,,0,1,1,,
<=40,1,1,2,,1,,,,0,0,,
<=40,0,0,1,,0,,,,,,,
<=40,,,0,,,,,,,,,
