T,IN,HY,LE,LP,EF,AG,PR,GI,AN,AH,CD,OD
>=90,24,33,43,,17,10,13,15,21,22,6,6
89,,32,42,,,9,,,,21,5,
88,23,,,18,,,,,20,,,
87,,31,41,,16,,12,14,,20,,
86,22,30,40,,,,,,19,,,
85,,,39,17,,,,,,,,
84,21,29,38,,15,8,,13,18,19,,
83,,28,37,16,,,11,,,,,5
82,20,27,36,,,,,,,18,,
81,,,,,14,,,,17,,,
80,19,26,35,15,,,,12,,17,4,
79,,25,34,,,7,10,,16,,,
78,18,,33,14,13,,,,,16,,
77,,24,32,,,,,11,15,,,
76,17,23,31,,,,9,,,,,
75,,,30,13,12,,,,,15,,4
74,16,22,,,,6,,10,14,,,
73,,21,29,,,,,,,14,,
72,15,,28,12,11,,8,,13,,3,
71,,20,27,,,,,9,,13,,
70,14,19,26,11,,,,,,,,
69,,18,25,,10,5,7,,12,12,,
68,13,,24,,,,,8,,,,3
67,,17,,10,,,,,11,,,
66,,16,23,,9,,,,,11,,
65,12,,22,,,4,6,,10,,,
64,,15,21,9,,,,7,,10,,
63,11,14,20,,8,,,,,,2,
62,,,19,8,,,5,,9,9,,
61,10,13,18,,,,,6,,,,
60,,12,,,7,3,,,8,8,,2
59,9,,17,7,,,,,,,,
58,,11,16,,,,4,5,7,7,,
57,8,10,15,6,6,,,,,,,
56,,9,14,,,,,,,,,
55,7,,13,,,2,3,4,6,6,1,
54,,8,12,5,5,,,,,,,
53,6,7,,,,,,,5,5,,
52,,,11,,,,,3,,,,1
51,5,6,10,4,4,,2,,4,4,,
50,,5,9,,,1,,,,,,
49,4,,8,3,,,,,,3,,
48,,4,7,,3,,1,2,3,,,
47,3,3,,,,,,,,,,
46,,,6,2,,,,,2,2,0,
45,2,2,5,,2,0,,1,,,,0
44,,1,4,1,,,0,,,1,,
43,1,0,3,,,,,,1,,,
42,,,2,,1,,,0,,0,,
41,0,,1,0,,,,,0,,,
<=40,,,0,,0,,,,,,,
