T,IN,HY,LE,LP,EF,AG,PR,GI,AN,AH,CD,OD
>=90,,41,48,18,20,11,9,16,,22,5,7
89,,40,47,,,,,,30,21,,
88,,39,46,17,,,,,,,,
87,,38,45,,19,,,15,29,,4,
86,30,,44,16,,10,,,28,20,,
85,,37,43,,18,,8,,,,,
84,29,36,42,,,,,14,27,19,,6
83,28,35,41,15,,,,,26,,,
82,,34,40,,17,9,,,,18,,
81,27,33,39,,,,,13,25,,,
80,26,32,38,14,16,,7,,24,17,,
79,,31,37,,,,,,,,,
78,25,,36,13,,8,,12,23,16,,
77,24,30,35,,15,,,,,,3,5
76,,29,34,,,,,,22,,,
75,23,28,33,12,14,,6,11,21,15,,
74,22,27,32,,,7,,,,,,
73,,26,31,,,,,,20,14,,
72,21,25,30,11,13,,,10,19,,,
71,20,,29,,,,,,,13,,4
70,19,24,28,,12,6,5,,18,,,
69,,23,27,10,,,,9,17,12,,
68,18,22,26,,,,,,,,,
67,17,21,25,9,11,,,,16,11,,
66,,20,24,,,5,,8,15,,2,
65,16,19,,,,,4,,,,,
64,15,18,23,8,10,,,,14,10,,3
63,,,22,,,,,7,13,,,
62,14,17,21,,9,4,,,,9,,
61,13,16,20,7,,,,,12,,,
60,,15,19,,,,3,6,,8,,
59,12,14,18,6,8,,,,11,,,
58,11,13,17,,,3,,,10,7,,2
57,,12,16,,7,,,5,,,,
56,10,11,15,5,,,,,9,6,1,
55,9,,14,,,,,,8,,,
54,8,10,13,,6,2,2,4,,,,
53,,9,12,4,,,,,7,5,,
52,7,8,11,,5,,,,6,,,1
51,6,7,10,3,,,,3,,4,,
50,,6,9,,,1,,,5,,,
49,5,5,8,,4,,1,,4,3,,
48,4,,7,2,,,,2,,,,
47,,4,6,,3,,,,3,2,,
46,3,3,5,,,0,,,2,,0,
45,2,2,4,1,,,,1,,1,,0
44,,1,3,,2,,0,,1,,,
43,1,0,2,0,,,,,0,,,
42,0,,1,,,,,0,,0,,
41,,,0,,1,,,,,,,
<=40,,,,,0,,,,,,,
