T,IN,HY,LE,LP,EF,AG,PR,GI,AN,AH,CD,OD
>=90,30,36,46,15,,18,12,21,29,23,10,8
89,,35,45,14,,,11,,28,22,9,
88,29,,44,,,17,,20,,,,
87,28,34,,,,,,,27,21,,7
86,,33,43,13,,16,,19,26,,,
85,27,32,42,,,,10,,,20,,
84,,31,41,,,,,18,25,,8,
83,26,,40,12,,15,,,,19,,
82,25,30,39,,,,,,24,,,
81,,29,38,,,14,9,17,,18,,6
80,24,28,37,,21,,,,23,,,
79,,27,36,11,,,,16,22,17,7,
78,23,,35,,20,13,,,,,,
77,22,26,,,,,8,15,21,16,,
76,,25,34,10,19,12,,,,,,
75,21,24,33,,,,,14,20,15,,5
74,,,32,,18,,,,19,,6,
73,20,23,31,9,,11,,,,14,,
72,19,22,30,,17,,7,13,18,,,
71,,21,29,,,10,,,,13,,
70,18,20,28,,16,,,12,17,,5,
69,,,27,8,,,,,,12,,4
68,17,19,26,,15,9,6,11,16,,,
67,16,18,25,,,,,,15,11,,
66,,17,,7,,,,10,,,,
65,15,16,24,,14,8,,,14,10,4,
64,,,23,,,,5,,,,,
63,14,15,22,6,13,7,,9,13,9,,3
62,13,14,21,,,,,,12,,,
61,,13,20,,12,,,8,,,,
60,12,12,19,,,6,4,,11,8,3,
59,,,18,5,11,,,7,,,,
58,11,11,17,,,5,,,10,7,,
57,10,10,16,,10,,,6,,,,2
56,,9,15,4,,,3,,9,6,,
55,9,,,,9,4,,5,8,,2,
54,,8,14,,,,,,,5,,
53,8,7,13,3,8,3,,,7,,,
52,7,6,12,,,,,4,,4,,
51,,5,11,,7,,2,,6,,,1
50,6,,10,,,2,,3,5,3,1,
49,,4,9,2,6,,,,,,,
48,5,3,8,,,1,,2,4,2,,
47,4,2,7,,5,,1,,,,,
46,,1,6,1,,,,1,3,1,,
45,3,,5,,4,0,,,,,0,0
44,,0,,,,,,,2,0,,
43,2,,4,0,3,,0,0,1,,,
42,1,,3,,,,,,,,,
41,,,2,,2,,,,0,,,
<=40,0,,1,,1,,,,,,,
<=40,,,0,,0,,,,,,,
