T,IN,HY,LE,LP,EF,AG,PR,GI,AN,AH,CD,OD
>=90,,54,,,,21,17,26,,33,12,12
89,,53,,,,,,25,,,,
88,,52,,,,20,16,,,32,,
87,,51,,,,,,24,,31,,11
86,,50,,,,19,,,,,11,
85,,49,,,,,15,23,,30,,
84,,48,,,,,,,,29,,
83,,47,,,,18,14,22,,,,10
82,,46,,,,,,,,28,10,
81,,45,,,,17,,21,,27,,
80,,44,48,18,,,13,,,,,
79,,43,47,,,16,,20,30,26,9,9
78,,42,46,17,,,,,29,,,
77,30,41,45,,,15,12,19,,25,,
76,29,40,44,16,21,,,,28,24,,
76,,39,43,,,,,,,,,
75,28,38,42,,,14,,18,27,,8,8
74,,37,41,15,20,,11,,26,23,,
73,27,36,40,,,,,17,,22,,
72,26,35,39,,19,13,,,25,,,
71,25,34,38,14,,,10,16,24,21,7,
70,,33,37,,18,12,,,23,20,,7
69,24,32,36,13,,,,15,,,,
68,23,31,35,,17,11,9,,22,19,,
68,,,34,,,,,,,,,
67,22,30,33,12,,,,14,21,,6,
66,,29,32,,16,10,,,20,18,,6
65,21,28,31,11,,,8,13,,17,,
64,20,27,30,,15,9,,,19,,,
63,19,26,29,,,,7,12,18,16,5,
62,,25,28,10,14,,,,,15,,5
61,18,24,27,,13,8,,,17,,,
60,17,23,26,9,,,6,11,16,14,4,
60,,,25,,,,,,,,,
59,16,22,24,,12,7,,,15,13,,
58,,21,23,8,,,,10,,,,4
57,15,20,22,,11,6,5,,14,12,,
56,14,19,21,7,,,,9,13,,3,
55,13,18,20,,10,5,,,12,11,,
54,,17,19,6,,,4,8,,10,,3
53,12,16,18,,9,4,,,11,,,
52,11,15,17,,,,,7,10,9,2,
52,,,16,,,,,,,,,
51,10,14,15,5,8,,3,,9,8,,
50,,13,14,,,3,,6,,,,2
50,,12,,,,,,,,,,
49,9,11,13,4,7,,,,8,7,,
48,8,10,12,,,2,2,5,7,6,1,
47,7,9,11,3,6,,,,6,,,
46,,8,10,,,1,,4,,5,,1
45,6,7,9,2,5,,1,,5,,,
44,5,6,8,,4,0,,3,4,4,0,
43,4,5,7,,,,0,,3,3,,
43,,,6,,,,,,,,,
42,,4,5,1,3,,,2,,,,0
41,3,3,4,,,,,,2,2,,
<=40,2,2,3,0,2,,,1,1,1,,
<=40,1,1,2,,1,,,0,0,0,,
<=40,0,0,1,,0,,,,,,,
<=40,,,0,,,,,,,,,
