T,3AI,3GI_RI,3GI_EL
90+,6,11,6
89, ,  ,5
88, ,  , 
87, ,  , 
86, ,  , 
85,5,10, 
84, ,  , 
83, ,  , 
82, ,  , 
81, ,9, 
80, ,  ,4
79, ,  , 
78, ,  , 
77,4,8, 
76, ,  , 
75, ,  , 
74, ,  , 
73, ,  , 
72, ,7,3
71, ,  , 
70, ,  , 
69,3,  , 
68, ,6, 
67, ,  , 
66, ,  , 
65, ,  , 
64, ,  , 
63, ,5,2
62,2,  , 
61, ,  , 
60, ,  , 
59, ,4, 
58, ,  , 
57, ,  , 
56, ,  , 
55, ,  , 
54,1,3,1
53, ,  , 
52, ,  , 
51, ,  , 
50, ,2, 
49, ,  , 
48, ,  , 
47, ,  , 
46,0,1, 
45, ,  ,0
44, ,  , 
43, ,  , 
42, ,  , 
41, ,0, 
<=40, ,  , 
