T,3AI,3GI_RI,3GI_EL
90+,5,11,4
89, ,  , 
88, ,10, 
87, ,  , 
86, ,  , 
85, ,  , 
84,4,9, 
83, ,  , 
82, ,  , 
81, ,  , 
80, ,  , 
79, ,8,3
78, ,  , 
77, ,  , 
76, ,  , 
75, ,  , 
74,3,7, 
73, ,  , 
72, ,  , 
71, ,  , 
70, ,6, 
69, ,  , 
68, ,  , 
67, ,  ,2
66, ,  , 
65, ,5, 
64,2,  , 
63, ,  , 
62, ,  , 
61, ,4, 
60, ,  , 
59, ,  , 
58, ,  , 
57, ,  , 
56, ,3,1
55, ,  , 
54, ,  , 
53,1,  , 
52, ,2, 
51, ,  , 
50, ,  , 
49, ,  , 
48, ,  , 
47, ,1, 
46, ,  , 
45, ,  ,0
44, ,  , 
43,0,0, 
42, ,  , 
41, ,  , 
<=40, ,  , 
