T,IN,HY,LE,LP,EF,AG,PR,GI,AN,AH,CD,OD
>=90,29,37,44,12,,14,9,18,29,20,8,8
89,28,36,43,,,13,,17,28,19,,
88,,35,42,,,,,,,,,
87,27,34,41,11,,,,16,27,,,7
86,26,,40,,,12,8,,26,18,,
85,,33,39,,,,,,,,7,
84,25,32,38,,,,,15,25,17,,
83,,31,,10,,11,,,,,,
82,24,30,37,,21,,,,24,16,,
81,23,,36,,,,7,14,23,,,6
80,,29,35,,20,,,,,,,
79,22,28,34,9,,10,,,22,15,6,
78,,27,33,,19,,,13,,,,
77,21,26,32,,,,,,21,14,,
76,,,,,18,9,6,12,,,,
75,20,25,31,8,,,,,20,,,5
74,19,24,30,,17,,,,19,13,,
73,,23,29,,,8,,11,,,5,
72,18,,28,,16,,,,18,12,,
71,,22,27,7,,,,,,,,
70,17,21,26,,15,,5,10,17,11,,
69,16,20,25,,,7,,,16,,,4
68,,19,,,14,,,,,,4,
67,15,,24,6,,,,9,15,10,,
66,,18,23,,13,6,,,,,,
65,14,17,22,,,,4,8,14,9,,
64,,16,21,,12,,,,13,,,
63,13,15,20,5,,5,,,,8,,3
62,12,,19,,11,,,7,12,,3,
61,,14,,,,,,,,,,
60,11,13,18,,10,,3,,11,7,,
59,,12,17,4,,4,,6,10,,,
58,10,,16,,9,,,,,6,,
57,9,11,15,,,,,5,9,,2,2
56,,10,14,,8,3,,,,5,,
55,8,9,13,3,,,2,,8,,,
54,,8,,,7,,,4,,,,
53,7,,12,,,2,,,7,4,,
52,6,7,11,,,,,,6,,,
51,,6,10,2,6,,,3,,3,1,1
50,5,5,9,,,,,,5,,,
49,,4,8,,5,1,1,,,,,
48,4,,7,,,,,2,4,2,,
47,,3,6,1,4,,,,3,,,
46,3,2,,,,0,,1,,1,,
45,2,1,5,,3,,,,2,,0,0
44,,,4,,,,0,,,0,,
43,1,0,3,0,2,,,0,1,,,
42,,,2,,,,,,0,,,
41,0,,1,,1,,,,,,,
<=40,,,0,,0,,,,,,,
