T,IN,HY,LE,LP,EF,AG,PR,GI,AN,AH,CD,OD
>=90,28,31,43,15,,19,12,17,24,18,9,9
89,27,30,42,14,,,,,23,17,8,
88,,,41,,,18,,16,,,,8
87,26,29,40,,,,,,22,,,
86,,28,39,13,,,11,,,16,,
85,25,,,,21,17,,15,21,,,
84,,27,38,,,,,,,,,
83,24,26,37,,,16,,,,15,7,7
82,,,36,12,20,,10,14,20,,,
81,23,25,35,,,,,,,14,,
80,,24,34,,19,15,,13,19,,,
79,22,,,11,,,,,,,,
78,21,23,33,,,14,9,,18,13,,
77,,22,32,,18,,,12,,,6,6
76,20,,31,10,,,,,17,,,
75,,21,30,,17,13,,,,12,,
74,19,20,29,,,,8,11,16,,,
73,,,,9,16,12,,,,11,,
72,18,19,28,,,,,,15,,5,5
71,,18,27,,,11,,10,,,,
70,17,,26,,15,,7,,14,10,,
69,,17,25,8,,,,,,,,
68,16,16,24,,14,10,,9,,,,
67,,,,,,,,,13,9,,
66,15,15,23,7,13,9,6,,,,4,4
65,,14,22,,,,,8,12,8,,
64,14,,21,,,,,,,,,
63,,13,20,6,12,8,5,,11,,,
62,13,12,19,,,,,7,,7,,
61,,,,,11,7,,,10,,,
60,12,11,18,5,,,,,,,3,3
59,11,,17,,10,6,4,6,9,6,,
58,,10,16,,,,,,,,,
57,10,9,15,,,,,5,8,5,,
56,,,,4,9,5,,,,,,
55,9,8,14,,,,3,,7,,2,2
54,,7,13,,8,4,,4,,4,,
53,8,,12,3,,,,,6,,,
52,,6,11,,7,,,,,,,
51,7,5,10,,,3,2,3,,3,,
50,,,,2,,,,,5,,,
49,6,4,9,,6,2,,,,2,1,1
48,,3,8,,,,,2,4,,,
47,5,,7,1,5,1,1,,,,,
46,,2,6,,,,,,3,1,,
45,4,1,5,,4,,,1,,,,
44,,,,,,0,,,2,,,0
43,3,0,4,0,,,0,,,0,0,
42,,,3,,3,,,0,1,,,
41,2,,2,,,,,,,,,
<=40,1,,1,,2,,,,0,,,
<=40,0,,0,,1,,,,,,,
<=40,,,,,0,,,,,,,
