T,IN,HY,LE,LP,EF,AG,PR,GI,AN,AH,CD,OD
>=90,,36,,,,10,10,15,29,18,7,7
89,,35,,18,,,,,28,17,6,
88,30,34,,,,,9,14,,,,
87,29,33,48,,21,,,,27,,,
86,,,47,17,,9,,,26,16,,6
85,28,32,46,,20,,,,,,,
84,27,31,45,16,,,,13,25,15,,
83,,30,44,,19,,8,,24,,,
82,26,,43,,,8,,,,,5,
81,25,29,42,15,,,,12,23,14,,
80,,28,41,,18,,,,,,,
79,24,27,40,14,,,,,22,,,5
78,23,,39,,17,,7,11,21,13,,
77,,26,38,,,7,,,,,,
76,22,25,37,13,16,,,,20,,,
75,21,24,36,,,,,10,19,12,4,
75,,,35,,,,,,,,,
74,,23,34,12,15,,,,,,,
73,20,,33,,,6,6,,18,11,,4
72,19,22,32,,,,,,,,,
71,,21,31,11,14,,,9,17,,,
70,18,20,30,,,,,,16,10,,
69,17,,29,10,13,,,,,,,
68,,19,28,,,5,5,8,15,,3,
67,16,18,27,,12,,,,14,9,,
66,15,17,26,9,,,,,,,,3
65,,,25,,11,,,7,13,8,,
64,14,16,24,,,4,,,,,,
63,13,15,23,8,10,,4,,12,,,
62,,14,22,,,,,6,11,7,,
61,12,13,21,7,,,,,,,2,
60,11,,20,,9,3,,,10,,,
59,,12,19,,,,,5,9,6,,2
58,10,11,18,6,8,,3,,,,,
57,9,10,17,,,,,,8,,,
56,,,16,5,7,,,,,5,,
55,8,9,15,,,2,,4,7,,,
54,7,8,14,,6,,2,,6,4,1,
54,,,13,,,,,,,,,
53,,7,12,4,,,,,,,,1
52,6,,11,,5,,,3,5,,,
51,5,6,10,3,,1,,,4,3,,
50,,5,9,,,,,,,,,
49,4,4,8,,4,,1,2,3,,,
48,3,,7,2,,,,,,2,,
47,,3,6,,3,,,,2,,0,
46,2,2,5,,,0,,1,1,1,,0
45,1,1,4,1,2,,,,,,,
44,0,0,3,,,,0,,0,,,
43,,,2,0,1,,,0,,0,,
42,,,1,,,,,,,,,
41,,,0,,,,,,,,,
<=40,,,,,0,,,,,,,
