T,IN,HY,LE,LP,EF,AG,PR,GI,AN,AH,CD,OD
>=90,,46,,,,18,12,23,,28,8,11
89,,45,,18,,,,22,,27,,
88,,44,,,,,,,,,,
87,,43,,17,,17,11,21,,26,,10
86,,42,48,,,,,,30,,,
85,,41,47,,,16,,20,29,25,7,
84,30,40,46,16,,,,,,,,
83,29,39,45,,21,,,19,28,24,,
82,,38,44,,,15,10,,27,23,,9
81,28,,43,15,20,,,,,,,
80,27,37,42,,,,,18,26,22,,
79,,36,41,14,19,14,,,25,,6,
78,26,35,40,,,,9,17,,21,,8
77,25,34,39,,,13,,,24,,,
76,,33,38,13,18,,,16,23,20,,
75,24,32,37,,,,,,,,,
75,,,36,,,,,,,,,
74,23,31,35,,17,12,8,15,22,19,5,
73,,30,34,12,,,,,21,,,7
72,22,29,33,,16,11,,,,18,,
71,21,28,32,11,,,,14,20,17,,
70,20,27,31,,15,,7,,19,,,
69,,,30,,,10,,13,,16,,6
68,19,26,29,10,14,,,,18,,4,
67,18,25,28,,,,,12,,15,,
66,,24,27,,13,9,6,,17,,,
65,17,23,26,9,,,,11,16,14,,
64,16,22,25,,12,8,,,,,,5
63,,21,24,8,,,,10,15,13,,
62,15,20,23,,11,,5,,14,,3,
61,14,19,22,,,7,,,,12,,
60,,18,21,7,10,,,9,13,11,,4
59,13,17,20,,,,,,12,,,
58,12,,19,,9,6,,8,,10,,
57,,16,18,6,,,4,,11,,,
56,11,15,17,,8,5,,7,10,9,2,
55,10,14,16,5,,,,,,,,3
54,,13,15,,,,,6,9,8,,
53,9,12,14,,7,4,3,,8,,,
52,8,11,13,4,,,,5,,7,,
51,,10,12,,6,3,,,7,6,1,2
50,7,9,11,,,,,,6,,,
49,6,8,10,3,5,,2,4,,5,,
48,,7,9,,,2,,,5,,,
47,5,,8,2,4,,,3,4,4,,
46,4,6,7,,,,,,,,,1
45,,5,6,,3,1,1,2,3,3,0,
44,3,4,5,1,,,,,2,,,
43,2,3,4,,2,0,,1,,2,,
42,,2,3,,,,,,1,,,0
41,1,1,2,0,1,,0,,0,1,,
<=40,0,0,1,,0,,,0,,0,,
<=40,,,0,,,,,,,,,
