T,3AI,3GI_RI,3GI_EL
90+,11,  ,5
89, ,  , 
88, ,  , 
87, ,18, 
86,10,  , 
85, ,17, 
84, ,  ,4
83, ,  , 
82,9,16, 
81, ,  , 
80, ,15, 
79, ,  , 
78,8,  , 
77, ,14, 
76, ,  , 
75, ,  , 
74, ,13,3
73,7,  , 
72, ,12, 
71, ,  , 
70, ,  , 
69,6,11, 
68, ,  , 
67, ,10, 
66, ,  , 
65,5,  , 
64, ,9,2
63, ,  , 
62, ,8, 
61,4,  , 
60, ,  , 
59, ,7, 
58, ,  , 
57,3,6, 
56, ,  , 
55, ,  , 
54, ,5,1
53, ,  , 
52,2,4, 
51, ,  , 
50, ,  , 
49, ,3, 
48,1,  , 
47, ,2, 
46, ,  , 
45, ,  , 
44,0,1,0
43, ,  , 
42, ,0, 
41, ,  , 
<=40, ,  , 
